Location,Treatment,Genotype,image,root_name,predicted_genotype,p_assigned_label,mislabel_score
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_1_day4,Col-0,0.22654761904761903,0.773452380952381
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_4,cax23,0.22695370370370369,0.7730462962962963
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_6,rbohD,0.22737499999999997,0.772625
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_4_day4,rbohD,0.22802777777777777,0.7719722222222223
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_7,rbohD,0.22823809523809524,0.7717619047619048
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_8_day2,Col-0,0.2282420634920635,0.7717579365079366
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_2_day4,rbohD,0.22975925925925922,0.7702407407407408
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_7_day4,cax22,0.23230687830687832,0.7676931216931216
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_5_day4,cax23,0.23359523809523808,0.7664047619047619
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_10_day4,cax22,0.23385714285714304,0.766142857142857
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_3_day4,cax23,0.23641468253968262,0.7635853174603173
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_3_day4,rbohD,0.23735846560846555,0.7626415343915345
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_9_day4,Col-0,0.23792989417989413,0.7620701058201058
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_5_day4,rbohD,0.2380866402116402,0.7619133597883598
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_9_day4,rbohD,0.23884060846560848,0.7611593915343915
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_8_day4,cax23,0.24093795093795095,0.759062049062049
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_9_day4,cax22,0.24321957671957675,0.7567804232804233
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_10_day4,Col-0,0.24499206349206337,0.7550079365079366
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_5,rbohD,0.2455337301587302,0.7544662698412699
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_1_day4,rbohD,0.24568518518518526,0.7543148148148148
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_1_c10_day2,cax22,0.24607341269841262,0.7539265873015873
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_4_day4,rbohD,0.24819444444444438,0.7518055555555556
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_9_day4,Col-0,0.25047222222222226,0.7495277777777778
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_2_day4,cax23,0.25072222222222224,0.7492777777777777
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_12_day2,cax22,0.25142460317460325,0.7485753968253968
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_5_c10_day2,Col-0,0.25150396825396815,0.7484960317460319
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_8_day4,Col-0,0.2516388888888889,0.748361111111111
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_1_day4,Col-0,0.2525357142857143,0.7474642857142857
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_7_day4,cax22,0.25385052910052913,0.7461494708994709
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_6_day4,rbohD,0.2543115079365078,0.7456884920634922
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_4_day4,cax22,0.2550436507936509,0.7449563492063491
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_11,rbohD,0.25565476190476183,0.7443452380952382
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_2_day4,cax22,0.25581150793650786,0.7441884920634921
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_7_day4,cax23,0.2561395502645502,0.7438604497354497
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_1_day4,cax23,0.25681878306878303,0.743181216931217
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_3,cax22,0.25900396825396815,0.7409960317460318
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_1_day4,cax22,0.2591031746031747,0.7408968253968253
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_1_day4,cax22,0.26040079365079366,0.7395992063492063
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_6_day4,Col-0,0.261154761904762,0.7388452380952379
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_5,Col-0,0.26192460317460314,0.7380753968253968
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_6_day4,Col-0,0.26207208994709014,0.7379279100529099
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_9,cax23,0.2621111111111112,0.7378888888888888
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_5_day4,cax22,0.2621746031746031,0.7378253968253969
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_8_day4,rbohD,0.2627896825396827,0.7372103174603173
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_1_day4,Col-0,0.26294246031746027,0.7370575396825397
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_8,rbohD,0.2630992063492063,0.7369007936507936
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_1,rbohD,0.26317063492063486,0.7368293650793651
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_8_day4,rbohD,0.2638888888888889,0.7361111111111112
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_4_day4,cax22,0.2666765873015873,0.7333234126984127
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_7_day4,Col-0,0.26742857142857146,0.7325714285714285
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_3_day4,cax22,0.2674285714285715,0.7325714285714284
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_12_day4,cax22,0.2679960317460316,0.7320039682539684
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_4_day4,cax22,0.2682956349206349,0.7317043650793651
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_6_day4,cax22,0.2689742063492062,0.7310257936507938
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_2_day4,rbohD,0.2696269841269842,0.7303730158730157
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_5_day4,cax23,0.2704880952380952,0.7295119047619048
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_8_day4,cax23,0.27057539682539683,0.7294246031746032
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_6_day4,cax22,0.2715515873015873,0.7284484126984128
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_2_day4,rbohD,0.27358068783068773,0.7264193121693123
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_3_day4,Col-0,0.27388888888888885,0.7261111111111112
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_2_day4,rbohD,0.2753174603174601,0.7246825396825398
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_11_day4,cax23,0.2757698412698412,0.7242301587301587
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_5,rbohD,0.2763690476190478,0.7236309523809522
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_3_day4,rbohD,0.27677645502645504,0.7232235449735449
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_10_day4,Col-0,0.27824206349206354,0.7217579365079365
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_4_day4,cax23,0.28104232804232815,0.7189576719576718
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_9_day4,cax23,0.2822539682539682,0.7177460317460318
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_5_day4,cax22,0.2834312169312168,0.7165687830687832
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_9_day4,Col-0,0.28450661375661385,0.7154933862433861
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_2_day4,cax23,0.2846130952380954,0.7153869047619046
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_1_day4,rbohD,0.2872559523809523,0.7127440476190476
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_2_c10_day2,Col-0,0.2874365079365081,0.7125634920634919
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_7_day4,Col-0,0.2884107142857143,0.7115892857142857
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_5_day4,Col-0,0.28859126984126987,0.7114087301587302
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_5_day2,cax22,0.28890277777777773,0.7110972222222223
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_3_day4,Col-0,0.289297619047619,0.7107023809523809
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_9_day4,cax22,0.28941865079365076,0.7105813492063493
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_7_day4,cax22,0.29010912698412705,0.709890873015873
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_9_day4,cax23,0.29060449735449756,0.7093955026455024
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_11_day4,cax23,0.2906150793650795,0.7093849206349205
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_3_day4,cax23,0.29110317460317464,0.7088968253968253
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_11_day4,cax23,0.2916150793650794,0.7083849206349206
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_3,Col-0,0.29233333333333333,0.7076666666666667
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_10_day4,cax23,0.2924603174603174,0.7075396825396826
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_3_c10_day2,cax22,0.293938492063492,0.706061507936508
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_6_day4,cax23,0.29445039682539675,0.7055496031746032
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_9_day4,Col-0,0.2946984126984128,0.7053015873015872
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_1,rbohD,0.29535912698412703,0.704640873015873
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_5_day4,rbohD,0.2959338624338624,0.7040661375661377
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_7_day4,cax23,0.2963492063492062,0.7036507936507939
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_4_day4,cax22,0.29836309523809534,0.7016369047619047
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_1_day4,rbohD,0.2993015873015874,0.7006984126984126
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_5_day4,cax22,0.3009074074074077,0.6990925925925924
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_8_day4,rbohD,0.3016150793650795,0.6983849206349205
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_5_day4,rbohD,0.30213293650793654,0.6978670634920634
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_2_day4,Col-0,0.3044067460317462,0.6955932539682538
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_5_day4,cax23,0.30650793650793634,0.6934920634920636
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_8_c10_day2,rbohD,0.310281746031746,0.689718253968254
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_9_c10_day2,rbohD,0.31142658730158734,0.6885734126984127
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_7_day4,cax23,0.31265674603174615,0.6873432539682538
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_1_day4,cax22,0.31428373015873007,0.68571626984127
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_8_day4,cax22,0.314486111111111,0.685513888888889
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_10_day4,rbohD,0.3145727513227511,0.6854272486772489
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_6_day2,cax23,0.31489682539682545,0.6851031746031746
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_3_day4,cax22,0.3168617724867726,0.6831382275132274
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_6_day4,Col-0,0.3170271164021165,0.6829728835978834
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_6,Col-0,0.3175376984126982,0.6824623015873018
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_6_day4,cax22,0.31792195767195763,0.6820780423280424
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_3_day4,rbohD,0.3184365079365079,0.6815634920634921
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_1_day4,Col-0,0.32172817460317477,0.6782718253968252
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_6_day4,Col-0,0.32228571428571434,0.6777142857142857
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_5_day4,Col-0,0.3230429894179893,0.6769570105820106
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_9,rbohD,0.3255833333333333,0.6744166666666667
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_8_day4,cax23,0.3282447089947091,0.6717552910052909
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_8_day4,rbohD,0.3285039682539683,0.6714960317460317
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_4_day4,cax22,0.3290099206349208,0.6709900793650792
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_10_day4,rbohD,0.3291997354497355,0.6708002645502644
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_8_day4,cax22,0.32976984126984143,0.6702301587301586
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_7_day4,Col-0,0.3322083333333332,0.6677916666666668
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_11_day4,rbohD,0.3323849206349207,0.6676150793650792
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_3_day4,rbohD,0.3339686147186148,0.6660313852813853
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_7_day2,rbohD,0.33409126984126997,0.6659087301587301
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_9_day4,Col-0,0.33482936507936517,0.6651706349206348
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_1_day4,rbohD,0.3352341269841271,0.664765873015873
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_5_day4,Col-0,0.33698214285714284,0.6630178571428571
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_2_day4,rbohD,0.338015873015873,0.661984126984127
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_6_day4,rbohD,0.3410350529100527,0.6589649470899472
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_10_day4,cax23,0.3411349206349207,0.6588650793650793
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_9,Col-0,0.34115079365079365,0.6588492063492064
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_2,cax23,0.3419523809523809,0.6580476190476191
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_8,cax23,0.34294841269841286,0.6570515873015872
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_10_day4,cax22,0.3469126984126985,0.6530873015873015
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_7,Col-0,0.34826569264069257,0.6517343073593074
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_10_day4,Col-0,0.34879960317460335,0.6512003968253967
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_6_day4,cax23,0.34971825396825407,0.6502817460317459
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_6_day4,cax22,0.34997023809523825,0.6500297619047617
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_6_day4,cax22,0.350119708994709,0.649880291005291
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_4_day4,Col-0,0.35022817460317457,0.6497718253968254
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_5_day4,cax23,0.3507440476190478,0.6492559523809522
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_8_day4,cax22,0.3532678571428571,0.6467321428571429
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_3_day4,cax23,0.35357473544973544,0.6464252645502646
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_1_day4,Col-0,0.35425859788359804,0.645741402116402
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_4_day4,cax23,0.3543095238095237,0.6456904761904763
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_9_day4,cax22,0.35449603174603184,0.6455039682539682
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_9_day4,cax22,0.35449603174603184,0.6455039682539682
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_4,cax23,0.354498015873016,0.645501984126984
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_2_day4,rbohD,0.3547463924963926,0.6452536075036074
C1,FL,cax23,C1_FL_cax23_day4.rsml,Spare,cax23,0.3580279581529584,0.6419720418470416
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_4_day4,rbohD,0.358799603174603,0.641200396825397
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_7_day4,rbohD,0.3598253968253969,0.6401746031746032
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_6_day4,rbohD,0.36129365079365067,0.6387063492063494
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_6_day4,cax22,0.361412037037037,0.6385879629629629
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_1_day4,cax22,0.36575661375661367,0.6342433862433863
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_9_day4,cax23,0.36662301587301593,0.6333769841269841
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_7_day4,cax22,0.37071164021164016,0.6292883597883598
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_6_day4,cax23,0.370892857142857,0.629107142857143
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_4_day4,cax22,0.3729365079365079,0.6270634920634921
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_8_day4,cax22,0.3730297619047619,0.6269702380952381
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_9_day4,cax23,0.37377976190476186,0.6262202380952382
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_4_day4,rbohD,0.37573677248677245,0.6242632275132276
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_2_day4,cax22,0.37790608465608455,0.6220939153439154
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_2_day4,cax22,0.37790608465608455,0.6220939153439154
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_5_day4,rbohD,0.3791428571428571,0.6208571428571429
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_6_day4,cax22,0.3796369047619048,0.6203630952380952
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_3_day4,cax22,0.38242724867724875,0.6175727513227512
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_4_day4,Col-0,0.38257208994708997,0.6174279100529101
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_4_day4,Col-0,0.3835615079365077,0.6164384920634923
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_7,cax23,0.38511309523809534,0.6148869047619047
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_10_day2,rbohD,0.3877063492063494,0.6122936507936506
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_3_day4,Col-0,0.3886038359788362,0.6113961640211638
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_5_day4,cax23,0.38872619047619045,0.6112738095238095
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_11_day4,rbohD,0.3887738095238094,0.6112261904761906
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_9_day4,cax23,0.3889900793650794,0.6110099206349207
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_4_day4,cax23,0.3892156084656085,0.6107843915343916
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_2_day4,rbohD,0.3922757936507936,0.6077242063492063
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_3_day4,cax22,0.3924318783068781,0.6075681216931219
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_3_day4,rbohD,0.39427843915343924,0.6057215608465607
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_4_day4,rbohD,0.3948551587301586,0.6051448412698415
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_1,rbohD,0.39897817460317453,0.6010218253968255
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_10_day2,rbohD,0.4008194444444443,0.5991805555555557
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_10_day4,cax23,0.4011666666666666,0.5988333333333333
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_12_day4,cax23,0.40346681096681103,0.596533189033189
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_6_day4,rbohD,0.40452380952380956,0.5954761904761905
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_5,cax23,0.40569642857142857,0.5943035714285714
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_8,rbohD,0.4084523809523809,0.5915476190476191
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_5_day4,cax23,0.4096706349206349,0.5903293650793651
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_2_day4,cax23,0.410763888888889,0.5892361111111111
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_1_day4,cax22,0.4143015873015871,0.5856984126984128
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_1_day4,cax22,0.4143015873015871,0.5856984126984128
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_5_day4,Col-0,0.4164265873015874,0.5835734126984127
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_2_day4,cax23,0.41869336219336223,0.5813066378066378
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_1_day4,rbohD,0.42205753968253956,0.5779424603174604
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_5_day4,cax22,0.42519179894179887,0.5748082010582012
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_7_day4,Col-0,0.426922619047619,0.573077380952381
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_3_day4,cax23,0.4300079365079364,0.5699920634920637
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_3_day4,cax23,0.4301091269841271,0.5698908730158729
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_4,cax22,0.43462500000000026,0.5653749999999997
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_8_day4,Col-0,0.4361884920634921,0.5638115079365079
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_9_day4,rbohD,0.44004100529100515,0.5599589947089949
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_7_c10_day2,rbohD,0.44072619047619044,0.5592738095238096
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_6_day4,rbohD,0.44216269841269856,0.5578373015873015
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_9_day4,cax23,0.4437757936507937,0.5562242063492062
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_4_day4,rbohD,0.44599603174603175,0.5540039682539682
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_4_c10_day3,rbohD,0.44867857142857154,0.5513214285714285
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_7,cax23,0.450834175084175,0.549165824915825
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_11_day4,cax23,0.4516825396825399,0.5483174603174601
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_1_day4,rbohD,0.4521395502645505,0.5478604497354496
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_4_day4,Col-0,0.45445634920634914,0.5455436507936509
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_7_day4,cax23,0.4576587301587301,0.54234126984127
