Row-names	GCShoot_COL00-GCShoot_RBOHD___log2FoldChange	GCShoot_COL00-GCShoot_RBOHD___padj	COL00-RBOHD_shoot_APEX5_Sig
AT1G70470	-0.756819037	0.035997478	Yes
AT1G70590	0.408971679	0.015207136	Yes
AT1G70730	0.188298969	0.037075061	Yes
AT1G70920	-3.201330745	0.035467526	Yes
AT1G71130	1.013083112	0.000445328	Yes
AT1G71960	-0.513572539	0.04955676	Yes
AT1G72050	-0.396567592	0.015484421	Yes
AT1G72150	0.317405554	0.018995843	Yes
AT1G72416	0.467847535	0.021132214	Yes
AT1G72680	-0.675789707	0.005259009	Yes
AT1G72710	0.124130864	0.020076403	Yes
AT1G72830	-0.606736817	0.001474588	Yes
AT1G72920	1.033626655	0.03378602	Yes
AT1G73030	0.411211516	0.006998572	Yes
AT1G73150	-0.442653768	0.012686971	Yes
AT1G73290	5.725970992	0.001167727	Yes
AT1G73500	1.132709483	0.003834452	Yes
AT1G73840	0.431995054	0.021209772	Yes
AT1G73885	0.593757413	0.044921262	Yes
AT1G74030	-0.468308835	0.031788615	Yes
AT1G74230	-0.787531949	4.05E-06	Yes
AT1G74310	-0.505422701	0.035845126	Yes
AT1G74940	0.44994823	0.010166781	Yes
AT1G75020	0.621643401	0.021091859	Yes
AT1G75510	-0.29999749	0.029548277	Yes
AT1G75580	-0.754801383	0.001246356	Yes
AT1G75630	0.468365048	0.001539328	Yes
AT1G75750	0.931419316	0.024957754	Yes
AT1G75800	0.656094399	1.55E-07	Yes
AT1G75810	0.945687367	0.000473832	Yes
AT1G75840	-0.241463466	0.031205818	Yes
AT1G75950	0.342043223	0.001571672	Yes
AT1G76010	-0.437424754	0.0001984	Yes
AT1G76180	0.586679859	0.001843523	Yes
AT1G76360	0.500339563	0.033989706	Yes
AT1G76400	-0.203593114	0.031065859	Yes
AT1G76490	0.414658126	0.023375595	Yes
AT1G76630	-0.205247972	0.044921262	Yes
AT1G76860	0.440033246	0.008204931	Yes
AT1G76930	-0.860014991	0.048117958	Yes
AT1G77280	-0.514076068	0.004757086	Yes
AT1G77720	-0.494860878	0.048213054	Yes
AT1G78020	0.528904158	0.039228408	Yes
AT1G78080	0.665148062	2.14E-05	Yes
AT1G78265	0.421898915	0.015182017	Yes
AT1G78270	0.394701034	0.022515091	Yes
AT1G78820	0.804812794	0.000283363	Yes
AT1G78830	0.687847656	0.002187766	Yes
AT1G78840	1.579680474	0.040396484	Yes
AT1G78850	0.500664569	0.017209591	Yes
AT1G78865	-0.949264622	0.005049581	Yes
AT1G78990	1.534887005	9.19E-05	Yes
AT1G79340	0.314020857	0.00696984	Yes
AT1G79440	0.631538064	4.03E-06	Yes
AT1G79450	-1.418859833	0.043083236	Yes
AT1G79620	-0.548613483	0.007707917	Yes
AT1G79700	0.731739942	0.001817286	Yes
AT1G79820	-0.452257651	0.027980703	Yes
AT1G79840	0.549247206	0.008419651	Yes
AT1G79850	0.755466202	0.023616865	Yes
AT1G79870	0.932962146	0.001176646	Yes
AT1G80180	1.466157773	4.81E-09	Yes
AT1G80230	0.374294914	0.023649965	Yes
AT1G80440	1.052803031	0.00010946	Yes
AT1G80640	-0.250457581	0.049260903	Yes
AT1G80850	0.912200022	0.003717758	Yes
AT2G01080	1.095463489	0.016443076	Yes
AT2G01110	0.405406183	0.046393067	Yes
AT2G01140	0.841412201	0.004667856	Yes
AT2G01170	0.659586234	0.001072164	Yes
AT2G01180	1.012777989	0.009619741	Yes
AT2G01220	0.274354024	0.018217594	Yes
AT2G01340	0.491713362	0.030644501	Yes
AT2G01410	0.630469212	0.017531969	Yes
AT2G01610	1.18874301	0.027980703	Yes
AT2G01830	-0.449998311	0.02541841	Yes
AT2G01950	-0.643481776	0.043693015	Yes
AT2G02400	0.433046399	0.03516848	Yes
AT2G02480	-0.433527177	0.004791293	Yes
AT2G02760	0.309173603	0.001689189	Yes
AT2G03280	-0.443924908	0.007111939	Yes
AT2G03440	0.824677071	8.81E-06	Yes
AT2G03640	-0.313478581	0.012528325	Yes
AT2G03690	0.366035317	0.031065859	Yes
AT2G04400	-0.438461997	0.001255081	Yes
AT2G04852	0.691996894	0.035596887	Yes
AT2G04880	-0.316728733	0.037440203	Yes
AT2G05995	2.128413402	9.76E-05	Yes
AT2G06002	3.723073133	6.29E-28	Yes
AT2G06005	0.806321871	0.000395996	Yes
AT2G06200	-1.942423801	0.002159722	Yes
AT2G07712	1.156920773	6.77E-14	Yes
AT2G07717	0.670864496	0.006149245	Yes
AT2G07732	-0.894012105	4.34E-11	Yes
AT2G07747	1.042103359	8.70E-12	Yes
AT2G07783	-0.484179932	0.019535161	Yes
AT2G07787	-0.51437195	0.004419309	Yes
AT2G07808	1.060237248	0.003893719	Yes
AT2G07830	-0.593277984	0.032994777	Yes
AT2G10410	0.800894028	0.006151709	Yes
AT2G12400	0.526667755	0.007252142	Yes
AT2G13540	-0.223258029	0.049805234	Yes
AT2G13550	-1.79974256	0.017736988	Yes
AT2G14878	-0.642586859	0.002486037	Yes
AT2G15490	-3.744804875	0.004556713	Yes
AT2G15810	1.74463175	9.54E-05	Yes
AT2G15890	0.568354179	0.045400976	Yes
AT2G15970	0.391724767	0.009396978	Yes
AT2G16485	-0.344601776	7.06E-05	Yes
AT2G16510	0.270489556	0.014075941	Yes
AT2G16640	-0.213357027	0.005900067	Yes
AT2G16920	-0.187568993	0.049359255	Yes
AT2G17265	0.406880355	0.015708898	Yes
AT2G17450	1.143804681	2.10E-05	Yes
AT2G17620	-1.134268252	0.000305425	Yes
AT2G17790	-0.19562545	0.044442379	Yes
AT2G17820	0.383977115	0.036510509	Yes
AT2G17840	1.081111415	3.86E-05	Yes
AT2G17870	-1.207187049	0.000129473	Yes
AT2G17880	1.148393267	0.001048807	Yes
AT2G18020	0.56969737	0.047212073	Yes
AT2G18210	1.138232029	0.048738236	Yes
AT2G18245	0.330933626	0.039208963	Yes
AT2G18250	0.398015716	0.035453519	Yes
AT2G19080	-0.248829653	0.027226205	Yes
AT2G19090	-0.678599819	0.000772835	Yes
