Transcript ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
AT2G33810.1	31.82640788	53.85772813
AT2G33815.1	31.10788697	52.62308373
AT2G33880.1	2.268076546	12.03287559
AT2G34350.1	15.73331265	69.0363755
AT2G35910.1	29.25567012	59.60054339
AT2G36110.1	5.201665455	16.52407382
AT2G36690.1	28.7191801	66.6786068
AT2G37180.1	886.2010964	1507.212054
AT2G37450.1	106.8623339	158.7351298
AT2G37450.2	114.8245212	173.4355573
AT2G39010.1	70.90389145	145.1145862
AT2G39450.1	572.6027694	890.8771682
AT2G43530.1	7.755440745	18.00104094
AT2G43550.1	145.7001835	226.3233378
AT3G02020.1	3127.95882	4875.51232
AT3G03190.1	338.2435181	507.0066862
AT3G03850.1	0.408689091	1.849177047
AT3G04110.1	55.50126376	99.86122482
AT3G05936.1	18.47051007	31.44996651
AT3G08660.1	25.04822239	39.29710262
AT3G10870.1	10.231296	21.96332722
AT3G11150.1	11.96907657	28.55054062
AT3G13950.1	8.939192388	51.55854694
AT3G16530.1	64.05090216	262.1496003
AT3G16690.1	172.0454103	249.5995509
AT3G19700.1	695.5185274	1042.93515
AT3G19710.1	6332.255848	9258.125487
AT3G22740.1	28.28478821	123.8497613
AT3G26165.1	1.388858277	2.986872175
AT3G26300.1	171.2338009	284.7407014
AT3G26660.1	0.669104705	2.692264037
AT3G29078.1	0.10300385	2.669343536
AT3G45000.2	0.101967203	2.310901171
AT3G45280.1	4.261215479	11.54591139
AT3G45440.1	27.81414564	52.84048496
AT3G46130.1	185.4989378	253.6260292
AT3G46130.2	188.9891921	257.7744916
AT3G46130.3	177.6818778	243.8517795
AT3G46130.4	186.3202914	254.8040473
AT3G48290.1	1.747673585	5.799940802
AT3G48290.2	1.747673585	5.799940802
AT3G48740.1	56.37686155	150.4646416
AT3G49115.1	3.087805476	9.865665648
AT3G51420.1	2.880504036	15.21330563
AT3G51910.1	108.0461777	156.2993238
AT3G53840.1	9.571379245	28.76508672
AT3G56220.1	48.03634808	87.15447743
AT3G56890.1	3.855465155	8.865019047
AT3G57520.1	5144.831833	7797.064138
AT3G57520.2	5093.308186	7717.265973
AT3G57520.3	5044.487743	7663.943529
AT3G57920.1	108.2241672	163.5533875
AT3G58980.1	107.8550413	163.1827906
AT3G58990.1	1095.156648	1545.075293
AT3G60520.1	49.87710254	85.08195736
AT3G61060.1	345.1444314	566.1003605
AT3G61060.2	345.2472189	566.1003605
AT4G02380.1	1224.415573	1984.711667
AT4G02380.2	1216.334449	1972.758923
AT4G04223.1	1.333866815	7.439149926
AT4G04223.2	0.923924709	5.276635088
AT4G04750.1	159.2365638	230.3946202
AT4G04840.1	165.3867488	319.9155826
AT4G08300.1	919.220685	1848.204363
AT4G09350.1	0.205791332	1.293246176
AT4G12030.2	1504.427955	2084.06828
AT4G12170.1	1.284143844	10.17213618
AT4G12430.1	47.50176298	79.74443889
AT4G12432.1	47.50176298	79.74443889
AT4G12470.1	40.09979175	150.7745894
AT4G12550.1	397.0778582	1711.2495
