Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
841896,8.3863,8.526,8.1505,8.6171,8.2909,8.4861,7.9957,8.3992
823599,6.1927,5.8843,6.1047,5.8663,6.1942,5.6745,5.704,5.8894
818777,8.6063,8.8483,8.9926,9.0783,8.5294,8.8572,9.0256,9.0249
834736,10.6906,11.1489,10.549,10.8449,10.8446,10.9271,10.5278,10.7372
821621,7.789,7.6364,7.322,7.5323,7.8693,7.9738,7.6244,7.6149
842753,7.9489,7.7604,7.9343,7.4599,7.6744,7.3686,7.6656,7.622
817549,8.8622,8.5775,9.0264,8.5284,8.7496,8.4658,8.8908,8.5524
831684,10.585,10.428,10.2398,10.1829,10.2279,10.147,10.6819,10.1871
829844,8.377,8.0387,8.5179,8.2352,8.5402,8.2407,8.4773,8.0279
838475,5.8038,6.3729,6.194,6.213,6.2824,5.8848,5.9331,6.1282
822556,8.2342,8.265,8.4055,8.3795,8.3411,7.9738,8.6717,8.4993
3767467,4.9035,4.7183,4.5031,4.6513,4.5474,4.86,4.9118,4.3566
838413,9.2707,9.6389,9.7219,9.9116,9.7413,9.6498,9.5004,9.8613
818037,8.5492,8.3264,8.4917,8.5518,8.2434,8.3152,8.8808,8.6073
816795,7.4753,7.9889,7.8056,8.0172,7.6348,8.0191,7.6422,7.8574
818994,10.2698,9.8232,9.6228,9.7803,9.7977,10.0371,9.7046,9.8432
843073,6.5496,6.777,6.4869,6.4679,6.6701,6.1107,6.4328,6.6717
816677,10.9569,10.3129,10.5606,10.8354,10.7465,10.5598,10.7512,10.8169
816297,7.796,7.8654,7.9852,7.4661,7.9576,8.0302,7.9053,7.564
828918,8.1379,8.2509,8.2106,8.2279,7.7933,7.7096,8.0589,8.1213
832072,11.6875,12.0452,12.1618,12.1971,12.2554,12.3237,12.1485,12.3015
821593,7.6328,7.0279,7.1652,7.2684,7.3709,7.269,6.9907,7.3232
834424,7.0623,6.633,6.8587,7.2471,6.9324,7.0357,7.2523,7.0445
818507,8.5942,8.313,8.1337,8.0045,8.3078,8.0684,8.3993,8.464
821257,6.5159,6.8346,6.5559,6.4923,6.3328,6.7966,6.4993,6.9114
825888,10.2936,10.0828,10.655,10.2902,10.5834,10.4223,10.6471,10.3156
842777,7.1637,7.3109,6.9255,7.2327,7.0171,7.2214,6.6823,7.1068
827591,8.7508,8.7816,8.7891,9.185,8.9021,9.0924,8.9936,9.2981
6241464,6.8355,6.3202,6.9641,6.9452,6.7465,6.7027,6.8032,6.8641
835716,10.4896,10.7128,10.3785,10.5388,10.4479,10.7277,10.0811,10.4735
829744,7.217,6.9606,6.9892,7.3574,7.1636,7.1212,6.7819,7.3747
842207,10.2998,10.4124,10.1024,9.9217,10.3685,10.3653,10.2901,9.9101
822269,8.4231,8.0305,8.3772,8.1419,8.3162,8.0791,8.6454,8.3486
826732,6.7366,6.7373,6.4145,6.4679,6.4131,6.8602,6.4862,6.8997
824303,7.1852,6.9947,7.0383,7.5556,7.3301,7.1212,7.14,7.4724
834906,9.8167,9.367,9.4318,9.2844,9.305,9.1444,9.564,9.3969
10723053,9.7817,10.2959,10.0748,10.328,10.1196,10.3049,9.9118,10.2699
832412,7.1195,6.6112,7.2509,7.0881,6.9215,7.1921,6.9907,6.8997
824691,6.9534,6.8346,6.9767,6.6524,6.4441,6.4616,6.8032,6.7775
832556,8.9148,9.1612,9.5717,9.3708,9.3769,9.1367,9.2739,9.4134
842597,8.0757,8.5775,8.4917,8.4744,8.3776,8.7505,8.3993,8.6392
6240894,13.8923,13.7979,13.7982,13.5062,13.66,13.9867,13.9077,13.4107
824832,7.5099,7.2416,6.9124,7.435,7.1636,7.2019,7.2052,7.5036
827527,12.3216,12.1923,12.3487,12.2303,12.0603,11.9174,12.592,12.1475
822541,7.1307,7.3377,7.0973,7.0558,7.4183,7.4285,6.8851,7.3914
828305,9.0649,8.6053,8.9579,8.6979,8.8881,8.6022,9.1364,8.7985
829910,11.3099,10.8318,11.1192,11.121,10.8116,10.8177,11.0664,11.2783
838234,8.4634,8.1258,8.4008,8.4896,8.6437,8.4159,8.8039,8.6286
823423,9.5435,9.2591,9.2871,9.0166,9.1164,9.0274,9.1715,8.8869
820521,9.8526,9.7226,10.271,10.0669,10.1655,10.0302,10.3309,10.0301
820779,7.3662,7.1837,6.9767,7.2964,6.819,7.2596,7.0182,7.3747
844336,7.5185,7.1234,7.1541,6.9715,6.9215,7.0135,7.0804,6.8641
828492,7.917,8.1638,7.9015,7.5671,8.1574,7.8665,7.8142,7.7181
818167,12.0048,11.8131,11.8433,11.9374,11.4718,11.4694,11.9024,11.8036
822529,7.4841,7.364,7.3514,7.3102,7.0873,6.9795,7.4604,7.0015
824748,6.0113,5.8474,6.3184,6.2705,5.823,6.1721,5.9137,6.2618
819649,9.7184,9.3768,9.2116,9.4193,9.2294,9.0412,9.2276,9.2158
841887,7.8307,8.2926,8.5005,8.1419,8.2695,8.0302,8.0764,8.2647
10723082,8.0757,8.0057,7.718,7.8944,7.8919,8.2969,8.287,7.9049
829447,8.28,8.2296,8.5048,8.6634,8.8482,8.6059,8.6037,8.5965
829909,9.7258,10.0986,9.5654,9.7389,9.5714,9.8819,9.4824,9.5944
822862,8.4457,8.4666,8.4515,8.6198,8.3204,7.9681,8.5916,8.4239
817547,10.7597,10.6935,10.4718,10.4851,10.2727,10.2703,10.7836,10.4686
835937,8.6496,8.5887,8.4961,8.6087,8.3974,8.373,8.014,8.4075
819640,5.7175,5.731,5.4806,5.555,5.7003,5.646,6.0968,5.4516
834922,7.6943,7.946,7.6798,7.8048,7.6548,8.116,7.5064,7.564
819744,9.3445,8.9732,9.4925,9.1219,9.2923,8.888,9.304,9.1235
824740,9.1442,9.4213,9.4568,9.4225,9.47,8.9507,9.5609,9.2825
839932,6.5987,6.717,7.1317,7.1119,6.9964,6.6746,6.9244,6.9572
821986,7.8169,7.3377,7.6407,7.8193,7.7319,8.0023,7.8706,7.8813
817673,10.1638,9.9195,10.3189,9.8668,9.8621,9.7336,10.1969,9.9361
6240309,5.9869,5.6478,6.1276,5.8475,5.9789,5.5871,6.1139,6.0029
842358,12.4655,12.0603,12.6399,12.3282,12.6884,12.4977,12.5878,12.5496
832022,8.9749,8.3464,8.821,8.8282,8.6337,8.5569,8.8733,8.7538
5007735,6.6461,6.473,6.8031,7.0058,6.5894,6.6169,6.3341,6.644
816210,7.0028,7.0114,6.7598,7.1276,7.4567,7.0897,7.2523,7.1269
819745,9.3753,9.0318,9.354,9.2238,9.5992,9.4286,9.6587,9.4913
841318,8.28,8.4726,8.1109,8.4372,8.3287,8.5492,7.9297,8.2917
832657,6.5159,7.0279,7.1089,6.9004,7.0171,6.6746,6.8137,6.9906
825378,6.2347,6.4486,6.5892,6.4556,6.7711,6.6021,6.3772,6.8399
843207,8.918,8.6434,8.7962,8.5947,8.3614,8.518,8.9031,8.857
817514,7.6943,7.1984,7.322,7.7144,7.2272,7.5947,7.5064,7.5266
831925,7.4577,7.0923,7.6486,7.6234,7.4027,7.2596,7.5821,7.6291
817312,7.8712,7.8928,8.1999,7.7802,8.3815,7.9623,7.8655,8.0544
833437,11.249,11.6226,11.5934,11.8186,11.4983,11.5371,11.2228,11.6497
829659,6.6147,6.497,6.7451,6.6084,6.2824,6.8351,6.9244,6.7123
816350,6.0113,5.69,6.0579,5.9031,5.7506,5.9564,6.3341,5.8414
822252,9.7239,9.6199,9.1319,9.4272,9.4849,9.5683,9.2393,9.3092
834215,10.9856,11.3424,10.887,10.8372,10.8782,11.2383,10.8798,10.7895
834695,8.3956,7.9372,7.8337,8.0088,7.9306,7.7638,7.9772,7.7703
814770,12.6126,12.4864,12.6816,12.4676,12.7217,12.1562,12.7896,12.4511
842088,6.3152,5.8474,6.3768,6.1221,6.1386,5.8095,6.0443,6.187
10723029,8.7508,8.7913,8.8793,9.2017,8.6602,8.9211,8.9936,9.2111
834715,4.7382,5.0124,4.8161,5.1576,4.8993,4.6458,5.2267,5.0056
820689,10.2171,9.7201,10.1096,10.0152,10.1655,9.8368,10.3217,9.9517
816277,8.4049,8.4482,7.9536,8.2424,8.2078,8.095,8.57,8.3699
821253,8.481,8.1712,8.2785,8.1028,8.0857,7.9389,8.4806,8.0332
836079,5.8314,5.5132,5.9076,5.6664,5.7257,5.5871,5.2578,5.6871
816493,10.6349,10.4404,10.9217,10.8585,10.9924,10.832,11.0581,10.9042
839560,8.8588,8.956,9.337,9.1062,9.2623,9.0711,9.4082,8.9334
827073,5.8314,5.7709,5.2912,5.6448,5.6213,5.2875,5.5366,5.6596
827697,7.8307,7.9284,8.1672,8.3194,7.8919,8.3421,8.2254,8.209
836096,8.339,8.2788,8.3038,8.3091,8.2123,7.8849,8.6187,8.2278
6240472,5.4228,5.6478,5.2501,5.3831,5.6745,5.1313,5.4039,5.6596
821335,9.7184,9.3308,10.0193,9.7853,9.5679,9.7721,9.7868,9.8014
829795,11.5219,11.3646,11.6042,11.2752,11.4812,10.9967,11.5987,11.3878
828685,8.0986,7.7898,7.6721,8.0422,7.5161,7.7836,7.9004,8.0225
828195,7.3182,7.0605,7.074,7.1276,7.1449,6.7704,7.3201,7.408
5007667,8.1598,7.8562,7.6721,7.6987,7.9576,8.2117,7.7931,7.8083
824593,12.2846,12.0293,12.2408,12.06,11.8852,11.6875,12.0683,12.2287
