"CAX22ROOTFL-CAX22ROOTGCUP, 127 genes","CAX22ROOTFL-CAX22ROOTGCDown, 0 genes","CAX22ROOTFL-COL00ROOTFLUP, 232 genes","CAX22ROOTFL-COL00ROOTFLDown, 271 genes","CAX22ROOTGC-COL00ROOTGCUP, 10 genes","CAX22ROOTGC-COL00ROOTGCDown, 110 genes","CAX22SHOOTFL-CAX22SHOOTGCUP, 3 genes","CAX22SHOOTFL-CAX22SHOOTGCDown, 5 genes","CAX22SHOOTFL-COL00SHOOTFLUP, 127 genes","CAX22SHOOTFL-COL00SHOOTFLDown, 586 genes","CAX22SHOOTGC-COL00SHOOTGCUP, 55 genes","CAX22SHOOTGC-COL00SHOOTGCDown, 127 genes","COL00ROOTFL-COL00ROOTGCUP, 203 genes","COL00ROOTFL-COL00ROOTGCDown, 92 genes","COL00SHOOTFL-COL00SHOOTGCUP, 304 genes","COL00SHOOTFL-COL00SHOOTGCDown, 34 genes"
,,AT5G07571,AT4G14368,,,,,,AT2G19190,,,AT5G50160,,AT4G01350,
,,AT5G11330,AT4G14370,,,,,,AT2G19500,,,AT5G51500,,AT4G03460,
,,AT5G15780,AT4G14450,,,,,,AT2G20835,,,AT5G52390,,AT4G04490,
,,AT5G18600,AT4G14630,,,,,,AT2G21310,,,AT5G57123,,AT4G04990,
,,AT5G18910,AT4G18090,,,,,,AT2G21900,,,AT5G57220,,AT4G05020,
,,AT5G20630,AT4G21380,,,,,,AT2G22500,,,AT5G60250,,AT4G08770,
,,AT5G22890,AT4G22640,,,,,,AT2G22880,,,AT5G61730,,AT4G09770,
,,AT5G23660,AT4G23550,,,,,,AT2G23210,,,AT5G64110,,AT4G10500,
,,AT5G23980,AT4G25470,,,,,,AT2G23800,,,AT5G64810,,AT4G11170,
,,AT5G24915,AT4G25480,,,,,,AT2G24600,,,AT5G66780,,AT4G11650,
,,AT5G25040,AT4G26120,,,,,,AT2G25255,,,,,AT4G11655,
,,AT5G25980,AT4G26740,,,,,,AT2G25260,,,,,AT4G12490,
,,AT5G26000,AT4G27920,,,,,,AT2G25440,,,,,AT4G12500,
,,AT5G28335,AT4G28405,,,,,,AT2G25460,,,,,AT4G13180,
,,AT5G36120,AT4G28420,,,,,,AT2G25625,,,,,AT4G14390,
,,AT5G36910,AT4G29780,,,,,,AT2G25940,,,,,AT4G14630,
,,AT5G38100,AT4G30430,,,,,,AT2G26290,,,,,AT4G15417,
,,AT5G38990,AT4G31330,,,,,,AT2G27660,,,,,AT4G15610,
,,AT5G39080,AT4G31710,,,,,,AT2G28400,,,,,AT4G18250,
,,AT5G39210,AT4G32950,,,,,,AT2G28500,,,,,AT4G18360,
,,AT5G45240,AT4G33290,,,,,,AT2G28710,,,,,AT4G18430,
,,AT5G45680,AT4G33550,,,,,,AT2G28960,,,,,AT4G19970,
,,AT5G45820,AT4G33560,,,,,,AT2G29100,,,,,AT4G20000,
,,AT5G46105,AT4G33860,,,,,,AT2G29110,,,,,AT4G20110,
,,AT5G46330,AT4G33930,,,,,,AT2G29220,,,,,AT4G21120,
,,AT5G49730,AT4G34410,,,,,,AT2G29250,,,,,AT4G21903,
,,AT5G50790,AT4G35810,,,,,,AT2G30020,,,,,AT4G22070,
,,AT5G51870,AT4G36350,,,,,,AT2G30660,,,,,AT4G23140,
,,AT5G52320,AT4G36490,,,,,,AT2G30750,,,,,AT4G23230,
,,AT5G53190,AT4G37860,,,,,,AT2G30766,,,,,AT4G23320,
,,AT5G53490,AT4G38420,,,,,,AT2G31020,,,,,AT4G23700,
,,AT5G54630,AT5G03545,,,,,,AT2G31625,,,,,AT4G25070,
,,AT5G55050,AT5G05020,,,,,,AT2G31865,,,,,AT4G25110,
,,AT5G56850,AT5G06760,,,,,,AT2G32030,,,,,AT4G25540,
,,AT5G60970,AT5G11210,,,,,,AT2G32140,,,,,AT4G26050,
,,AT5G61160,AT5G12990,,,,,,AT2G32160,,,,,AT4G27220,
,,AT5G61520,AT5G13320,,,,,,AT2G32190,,,,,AT4G28420,
,,AT5G64770,AT5G15250,,,,,,AT2G32200,,,,,AT4G31970,
,,AT5G65410,AT5G15660,,,,,,AT2G32210,,,,,AT4G35180,
,,,AT5G15960,,,,,,AT2G32460,,,,,AT4G37010,
,,,AT5G16100,,,,,,AT2G32660,,,,,AT4G37070,
,,,AT5G16960,,,,,,AT2G32680,,,,,AT4G37370,
,,,AT5G17340,,,,,,AT2G33580,,,,,AT4G37900,
,,,AT5G20790,,,,,,AT2G34500,,,,,AT4G39670,
,,,AT5G23990,,,,,,AT2G34940,,,,,AT4G39830,
,,,AT5G24110,,,,,,AT2G35290,,,,,AT5G01490,
,,,AT5G24660,,,,,,AT2G35710,,,,,AT5G01550,
,,,AT5G25250,,,,,,AT2G35930,,,,,AT5G02400,
,,,AT5G25260,,,,,,AT2G35980,,,,,AT5G02780,
,,,AT5G26220,,,,,,AT2G36220,,,,,AT5G03350,
,,,AT5G26920,,,,,,AT2G37430,,,,,AT5G04150,
,,,AT5G36240,,,,,,AT2G37700,,,,,AT5G05250,
,,,AT5G38910,,,,,,AT2G37750,,,,,AT5G06730,
,,,AT5G40000,,,,,,AT2G38210,,,,,AT5G06740,
,,,AT5G41510,,,,,,AT2G38790,,,,,AT5G07010,
,,,AT5G41740,,,,,,AT2G39200,,,,,AT5G08240,
,,,AT5G41750,,,,,,AT2G39518,,,,,AT5G09290,
,,,AT5G42053,,,,,,AT2G39530,,,,,AT5G10760,
,,,AT5G45113,,,,,,AT2G39650,,,,,AT5G11210,
,,,AT5G47220,,,,,,AT2G40095,,,,,AT5G12880,
,,,AT5G47850,,,,,,AT2G40750,,,,,AT5G13080,
,,,AT5G48430,,,,,,AT2G41010,,,,,AT5G13320,
,,,AT5G48850,,,,,,AT2G41240,,,,,AT5G14000,
,,,AT5G50200,,,,,,AT2G42060,,,,,AT5G15130,
,,,AT5G52050,,,,,,AT2G42350,,,,,AT5G16170,
,,,AT5G52760,,,,,,AT2G42360,,,,,AT5G19490,
,,,AT5G53950,,,,,,AT2G43570,,,,,AT5G19880,
,,,AT5G54450,,,,,,AT2G43620,,,,,AT5G22570,
,,,AT5G55020,,,,,,AT2G44370,,,,,AT5G24090,
,,,AT5G55056,,,,,,AT2G44380,,,,,AT5G24240,
,,,AT5G58080,,,,,,AT2G44460,,,,,AT5G24380,
,,,AT5G58120,,,,,,AT2G44840,,,,,AT5G24530,
,,,AT5G59220,,,,,,AT2G45220,,,,,AT5G25260,
,,,AT5G63900,,,,,,AT2G45760,,,,,AT5G26220,
,,,AT5G64110,,,,,,AT2G46400,,,,,AT5G38250,
,,,AT5G64870,,,,,,AT2G46455,,,,,AT5G38350,
,,,AT5G66780,,,,,,AT2G46495,,,,,AT5G38900,
,,,AT5G67310,,,,,,AT2G47050,,,,,AT5G39520,
,,,,,,,,,AT2G47130,,,,,AT5G40010,
,,,,,,,,,AT2G47670,,,,,AT5G40590,
,,,,,,,,,AT2G47895,,,,,AT5G40990,
,,,,,,,,,AT3G01270,,,,,AT5G42830,
,,,,,,,,,AT3G01420,,,,,AT5G43350,
,,,,,,,,,AT3G01430,,,,,AT5G43520,
,,,,,,,,,AT3G01830,,,,,AT5G43580,
,,,,,,,,,AT3G01840,,,,,AT5G44380,
,,,,,,,,,AT3G02240,,,,,AT5G44610,
,,,,,,,,,AT3G02800,,,,,AT5G44990,
,,,,,,,,,AT3G02840,,,,,AT5G45000,
,,,,,,,,,AT3G04530,,,,,AT5G45080,
,,,,,,,,,AT3G04660,,,,,AT5G45090,
,,,,,,,,,AT3G05400,,,,,AT5G45380,
,,,,,,,,,AT3G07195,,,,,AT5G48400,
,,,,,,,,,AT3G08860,,,,,AT5G48410,
,,,,,,,,,AT3G09270,,,,,AT5G48430,
,,,,,,,,,AT3G09520,,,,,AT5G48657,
,,,,,,,,,AT3G09960,,,,,AT5G50760,
,,,,,,,,,AT3G10100,,,,,AT5G53110,
,,,,,,,,,AT3G10320,,,,,AT5G54040,
,,,,,,,,,AT3G10710,,,,,AT5G57480,
,,,,,,,,,AT3G10815,,,,,AT5G59670,
,,,,,,,,,AT3G10930,,,,,AT5G60900,
,,,,,,,,,AT3G13432,,,,,AT5G61550,
,,,,,,,,,AT3G13610,,,,,AT5G62150,
,,,,,,,,,AT3G13950,,,,,AT5G62480,
,,,,,,,,,AT3G14025,,,,,AT5G63600,
,,,,,,,,,AT3G14040,,,,,AT5G64100,
,,,,,,,,,AT3G14440,,,,,AT5G64905,
,,,,,,,,,AT3G15210,,,,,AT5G65600,
,,,,,,,,,AT3G15340,,,,,AT5G67340,
,,,,,,,,,AT3G15518,,,,,AT5G67450,
,,,,,,,,,AT3G15540,,,,,,
,,,,,,,,,AT3G16510,,,,,,
,,,,,,,,,AT3G18250,,,,,,
,,,,,,,,,AT3G19580,,,,,,
,,,,,,,,,AT3G21150,,,,,,
,,,,,,,,,AT3G21330,,,,,,
,,,,,,,,,AT3G21780,,,,,,
,,,,,,,,,AT3G22600,,,,,,
,,,,,,,,,AT3G22840,,,,,,
,,,,,,,,,AT3G23175,,,,,,
,,,,,,,,,AT3G23250,,,,,,
,,,,,,,,,AT3G23510,,,,,,
,,,,,,,,,AT3G25250,,,,,,
,,,,,,,,,AT3G25882,,,,,,
,,,,,,,,,AT3G26440,,,,,,
,,,,,,,,,AT3G26770,,,,,,
,,,,,,,,,AT3G27270,,,,,,
,,,,,,,,,AT3G27940,,,,,,
,,,,,,,,,AT3G28210,,,,,,
,,,,,,,,,AT3G28890,,,,,,
,,,,,,,,,AT3G29000,,,,,,
,,,,,,,,,AT3G29250,,,,,,
,,,,,,,,,AT3G30842,,,,,,
,,,,,,,,,AT3G31980,,,,,,
,,,,,,,,,AT3G31990,,,,,,
,,,,,,,,,AT3G42658,,,,,,
,,,,,,,,,AT3G44260,,,,,,
,,,,,,,,,AT3G44350,,,,,,
,,,,,,,,,AT3G45410,,,,,,
,,,,,,,,,AT3G45660,,,,,,
,,,,,,,,,AT3G46090,,,,,,
,,,,,,,,,AT3G46280,,,,,,
,,,,,,,,,AT3G46330,,,,,,
,,,,,,,,,AT3G46690,,,,,,
,,,,,,,,,AT3G48020,,,,,,
,,,,,,,,,AT3G48080,,,,,,
,,,,,,,,,AT3G48520,,,,,,
,,,,,,,,,AT3G48650,,,,,,
,,,,,,,,,AT3G48850,,,,,,
,,,,,,,,,AT3G49130,,,,,,
,,,,,,,,,AT3G49570,,,,,,
,,,,,,,,,AT3G49580,,,,,,
,,,,,,,,,AT3G49710,,,,,,
,,,,,,,,,AT3G50260,,,,,,
,,,,,,,,,AT3G50470,,,,,,
,,,,,,,,,AT3G50800,,,,,,
,,,,,,,,,AT3G51330,,,,,,
,,,,,,,,,AT3G51360,,,,,,
,,,,,,,,,AT3G52400,,,,,,
,,,,,,,,,AT3G52450,,,,,,
,,,,,,,,,AT3G52810,,,,,,
,,,,,,,,,AT3G53150,,,,,,
,,,,,,,,,AT3G53480,,,,,,
,,,,,,,,,AT3G53830,,,,,,
,,,,,,,,,AT3G54040,,,,,,
,,,,,,,,,AT3G54150,,,,,,
,,,,,,,,,AT3G54420,,,,,,
,,,,,,,,,AT3G55150,,,,,,
,,,,,,,,,AT3G55240,,,,,,
,,,,,,,,,AT3G55840,,,,,,
,,,,,,,,,AT3G55890,,,,,,
,,,,,,,,,AT3G56710,,,,,,
,,,,,,,,,AT3G56780,,,,,,
,,,,,,,,,AT3G56790,,,,,,
,,,,,,,,,AT3G56970,,,,,,
,,,,,,,,,AT3G56980,,,,,,
,,,,,,,,,AT3G57260,,,,,,
,,,,,,,,,AT3G57380,,,,,,
,,,,,,,,,AT3G57460,,,,,,
,,,,,,,,,AT3G60540,,,,,,
,,,,,,,,,AT3G60935,,,,,,
,,,,,,,,,AT3G61190,,,,,,
,,,,,,,,,AT3G61390,,,,,,
,,,,,,,,,AT4G00700,,,,,,
,,,,,,,,,AT4G01350,,,,,,
,,,,,,,,,AT4G01930,,,,,,
,,,,,,,,,AT4G03460,,,,,,
,,,,,,,,,AT4G04490,,,,,,
,,,,,,,,,AT4G04500,,,,,,
,,,,,,,,,AT4G04580,,,,,,
,,,,,,,,,AT4G04990,,,,,,
,,,,,,,,,AT4G05049,,,,,,
,,,,,,,,,AT4G08109,,,,,,
,,,,,,,,,AT4G08113,,,,,,
,,,,,,,,,AT4G08114,,,,,,
,,,,,,,,,AT4G08555,,,,,,
,,,,,,,,,AT4G08953,,,,,,
,,,,,,,,,AT4G10500,,,,,,
,,,,,,,,,AT4G11170,,,,,,
,,,,,,,,,AT4G11655,,,,,,
,,,,,,,,,AT4G11910,,,,,,
,,,,,,,,,AT4G12350,,,,,,
,,,,,,,,,AT4G12490,,,,,,
,,,,,,,,,AT4G12500,,,,,,
,,,,,,,,,AT4G13180,,,,,,
,,,,,,,,,AT4G13420,,,,,,
,,,,,,,,,AT4G14365,,,,,,
,,,,,,,,,AT4G14368,,,,,,
,,,,,,,,,AT4G14370,,,,,,
,,,,,,,,,AT4G14450,,,,,,
,,,,,,,,,AT4G14630,,,,,,
,,,,,,,,,AT4G14690,,,,,,
,,,,,,,,,AT4G15417,,,,,,
,,,,,,,,,AT4G15610,,,,,,
,,,,,,,,,AT4G16780,,,,,,
,,,,,,,,,AT4G18195,,,,,,
,,,,,,,,,AT4G18250,,,,,,
,,,,,,,,,AT4G18430,,,,,,
,,,,,,,,,AT4G18870,,,,,,
,,,,,,,,,AT4G19970,,,,,,
,,,,,,,,,AT4G20000,,,,,,
,,,,,,,,,AT4G20110,,,,,,
,,,,,,,,,AT4G20730,,,,,,
,,,,,,,,,AT4G21120,,,,,,
,,,,,,,,,AT4G22070,,,,,,
,,,,,,,,,AT4G22185,,,,,,
,,,,,,,,,AT4G23210,,,,,,
,,,,,,,,,AT4G23215,,,,,,
,,,,,,,,,AT4G23220,,,,,,
,,,,,,,,,AT4G23230,,,,,,
,,,,,,,,,AT4G23280,,,,,,
,,,,,,,,,AT4G23320,,,,,,
,,,,,,,,,AT4G23810,,,,,,
,,,,,,,,,AT4G24570,,,,,,
,,,,,,,,,AT4G24580,,,,,,
,,,,,,,,,AT4G25070,,,,,,
,,,,,,,,,AT4G25110,,,,,,
,,,,,,,,,AT4G25470,,,,,,
,,,,,,,,,AT4G26090,,,,,,
,,,,,,,,,AT4G26200,,,,,,
,,,,,,,,,AT4G27652,,,,,,
,,,,,,,,,AT4G27654,,,,,,
,,,,,,,,,AT4G27657,,,,,,
,,,,,,,,,AT4G28405,,,,,,
,,,,,,,,,AT4G28420,,,,,,
,,,,,,,,,AT4G29780,,,,,,
,,,,,,,,,AT4G31710,,,,,,
,,,,,,,,,AT4G32810,,,,,,
,,,,,,,,,AT4G32870,,,,,,
,,,,,,,,,AT4G33930,,,,,,
,,,,,,,,,AT4G34131,,,,,,
,,,,,,,,,AT4G34380,,,,,,
,,,,,,,,,AT4G34410,,,,,,
,,,,,,,,,AT4G34470,,,,,,
,,,,,,,,,AT4G36700,,,,,,
,,,,,,,,,AT4G37010,,,,,,
,,,,,,,,,AT4G37030,,,,,,
,,,,,,,,,AT4G37370,,,,,,
,,,,,,,,,AT4G37770,,,,,,
,,,,,,,,,AT4G37900,,,,,,
,,,,,,,,,AT4G38560,,,,,,
,,,,,,,,,AT4G39580,,,,,,
,,,,,,,,,AT4G39650,,,,,,
,,,,,,,,,AT4G39670,,,,,,
,,,,,,,,,AT4G39830,,,,,,
,,,,,,,,,AT5G01100,,,,,,
,,,,,,,,,AT5G01490,,,,,,
,,,,,,,,,AT5G01550,,,,,,
,,,,,,,,,AT5G01640,,,,,,
,,,,,,,,,AT5G01700,,,,,,
,,,,,,,,,AT5G02400,,,,,,
,,,,,,,,,AT5G02780,,,,,,
,,,,,,,,,AT5G03350,,,,,,
,,,,,,,,,AT5G04150,,,,,,
,,,,,,,,,AT5G04340,,,,,,
,,,,,,,,,AT5G05300,,,,,,
,,,,,,,,,AT5G05340,,,,,,
,,,,,,,,,AT5G06740,,,,,,
,,,,,,,,,AT5G07110,,,,,,
,,,,,,,,,AT5G08240,,,,,,
,,,,,,,,,AT5G10695,,,,,,
,,,,,,,,,AT5G10760,,,,,,
,,,,,,,,,AT5G11210,,,,,,
,,,,,,,,,AT5G11650,,,,,,
,,,,,,,,,AT5G12340,,,,,,
,,,,,,,,,AT5G12880,,,,,,
,,,,,,,,,AT5G13080,,,,,,
,,,,,,,,,AT5G13200,,,,,,
,,,,,,,,,AT5G13320,,,,,,
,,,,,,,,,AT5G14740,,,,,,
,,,,,,,,,AT5G14750,,,,,,
,,,,,,,,,AT5G15130,,,,,,
,,,,,,,,,AT5G16170,,,,,,
,,,,,,,,,AT5G17350,,,,,,
,,,,,,,,,AT5G19470,,,,,,
,,,,,,,,,AT5G19880,,,,,,
,,,,,,,,,AT5G20740,,,,,,
,,,,,,,,,AT5G22240,,,,,,
,,,,,,,,,AT5G22250,,,,,,
,,,,,,,,,AT5G22380,,,,,,
,,,,,,,,,AT5G22545,,,,,,
,,,,,,,,,AT5G22560,,,,,,
,,,,,,,,,AT5G24090,,,,,,
,,,,,,,,,AT5G24240,,,,,,
,,,,,,,,,AT5G24530,,,,,,
,,,,,,,,,AT5G24660,,,,,,
,,,,,,,,,AT5G25250,,,,,,
,,,,,,,,,AT5G25260,,,,,,
,,,,,,,,,AT5G25910,,,,,,
,,,,,,,,,AT5G26920,,,,,,
,,,,,,,,,AT5G27420,,,,,,
,,,,,,,,,AT5G35495,,,,,,
,,,,,,,,,AT5G36260,,,,,,
,,,,,,,,,AT5G36870,,,,,,
,,,,,,,,,AT5G36925,,,,,,
,,,,,,,,,AT5G38250,,,,,,
,,,,,,,,,AT5G38700,,,,,,
,,,,,,,,,AT5G38900,,,,,,
,,,,,,,,,AT5G38910,,,,,,
,,,,,,,,,AT5G39520,,,,,,
,,,,,,,,,AT5G39580,,,,,,
,,,,,,,,,AT5G40000,,,,,,
,,,,,,,,,AT5G40010,,,,,,
,,,,,,,,,AT5G40590,,,,,,
,,,,,,,,,AT5G40780,,,,,,
,,,,,,,,,AT5G41550,,,,,,
,,,,,,,,,AT5G41750,,,,,,
,,,,,,,,,AT5G41900,,,,,,
,,,,,,,,,AT5G42053,,,,,,
,,,,,,,,,AT5G42290,,,,,,
,,,,,,,,,AT5G42380,,,,,,
,,,,,,,,,AT5G42655,,,,,,
,,,,,,,,,AT5G42830,,,,,,
,,,,,,,,,AT5G43350,,,,,,
,,,,,,,,,AT5G43370,,,,,,
,,,,,,,,,AT5G43770,,,,,,
,,,,,,,,,AT5G43890,,,,,,
,,,,,,,,,AT5G44065,,,,,,
,,,,,,,,,AT5G44585,,,,,,
,,,,,,,,,AT5G44910,,,,,,
,,,,,,,,,AT5G45000,,,,,,
,,,,,,,,,AT5G45070,,,,,,
,,,,,,,,,AT5G45080,,,,,,
,,,,,,,,,AT5G45113,,,,,,
,,,,,,,,,AT5G45116,,,,,,
,,,,,,,,,AT5G45340,,,,,,
,,,,,,,,,AT5G45380,,,,,,
,,,,,,,,,AT5G46080,,,,,,
,,,,,,,,,AT5G46295,,,,,,
,,,,,,,,,AT5G47550,,,,,,
,,,,,,,,,AT5G47850,,,,,,
,,,,,,,,,AT5G47960,,,,,,
,,,,,,,,,AT5G48375,,,,,,
,,,,,,,,,AT5G48400,,,,,,
,,,,,,,,,AT5G48410,,,,,,
,,,,,,,,,AT5G48430,,,,,,
,,,,,,,,,AT5G48657,,,,,,
,,,,,,,,,AT5G48850,,,,,,
,,,,,,,,,AT5G49520,,,,,,
,,,,,,,,,AT5G51440,,,,,,
,,,,,,,,,AT5G52020,,,,,,
,,,,,,,,,AT5G52050,,,,,,
,,,,,,,,,AT5G52570,,,,,,
,,,,,,,,,AT5G52750,,,,,,
,,,,,,,,,AT5G53110,,,,,,
,,,,,,,,,AT5G54490,,,,,,
,,,,,,,,,AT5G54530,,,,,,
,,,,,,,,,AT5G54610,,,,,,
,,,,,,,,,AT5G54700,,,,,,
,,,,,,,,,AT5G57010,,,,,,
,,,,,,,,,AT5G57220,,,,,,
,,,,,,,,,AT5G59530,,,,,,
,,,,,,,,,AT5G59550,,,,,,
,,,,,,,,,AT5G59670,,,,,,
,,,,,,,,,AT5G59820,,,,,,
,,,,,,,,,AT5G60900,,,,,,
,,,,,,,,,AT5G61550,,,,,,
,,,,,,,,,AT5G62150,,,,,,
,,,,,,,,,AT5G62480,,,,,,
,,,,,,,,,AT5G62865,,,,,,
,,,,,,,,,AT5G63130,,,,,,
,,,,,,,,,AT5G64100,,,,,,
,,,,,,,,,AT5G64120,,,,,,
,,,,,,,,,AT5G64530,,,,,,
,,,,,,,,,AT5G64890,,,,,,
,,,,,,,,,AT5G65300,,,,,,
,,,,,,,,,AT5G65600,,,,,,
,,,,,,,,,AT5G66080,,,,,,
,,,,,,,,,AT5G67310,,,,,,
,,,,,,,,,AT5G67340,,,,,,
,,,,,,,,,AT5G67450,,,,,,
,,,,,,,,,ATMG01020,,,,,,
