genotype,tissue,pathway,name,gene,log2FC
rbohD,root,ath01100,Metabolic pathways,AT2G30750,4.116
rbohD,root,ath01100,Metabolic pathways,AT2G43570,1.957
rbohD,root,ath01100,Metabolic pathways,AT2G43620,2.407
rbohD,root,ath01100,Metabolic pathways,AT2G43890,4.377
rbohD,root,ath01100,Metabolic pathways,AT2G44460,7.511
rbohD,root,ath01100,Metabolic pathways,AT3G02620,-1.058
rbohD,root,ath01100,Metabolic pathways,AT3G03670,2.252
rbohD,root,ath01100,Metabolic pathways,AT3G08860,1.2
rbohD,root,ath01100,Metabolic pathways,AT3G17790,1.109
rbohD,root,ath01100,Metabolic pathways,AT3G21720,2.412
rbohD,root,ath01100,Metabolic pathways,AT3G22740,-1.766
rbohD,root,ath01100,Metabolic pathways,AT3G60120,6.143
rbohD,root,ath01100,Metabolic pathways,AT4G02280,1.008
rbohD,root,ath01100,Metabolic pathways,AT4G22880,-2.598
rbohD,root,ath01100,Metabolic pathways,AT4G28420,6.698
rbohD,root,ath01100,Metabolic pathways,AT5G02780,1.227
rbohD,root,ath01100,Metabolic pathways,AT5G07200,1.216
rbohD,root,ath01100,Metabolic pathways,AT5G19890,1.143
rbohD,root,ath01100,Metabolic pathways,AT5G22300,4.067
rbohD,root,ath01100,Metabolic pathways,AT5G26220,1.525
rbohD,root,ath01100,Metabolic pathways,AT5G36130,1.174
rbohD,root,ath01100,Metabolic pathways,AT5G42800,-3.18
rbohD,root,ath01100,Metabolic pathways,AT5G47000,-1.703
rbohD,root,ath01100,Metabolic pathways,AT5G51500,1.135
rbohD,root,ath01100,Metabolic pathways,AT5G64110,2.057
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT1G02850,2.051
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT1G14540,2.524
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT1G14550,2.41
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT1G49570,2.257
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT2G19500,3.383
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT2G28850,-3.569
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT2G28860,-4.338
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT2G30670,2.934
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT2G44460,7.511
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT3G03670,2.252
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT3G08860,1.2
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT3G21720,2.412
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT3G22740,-1.766
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT3G60120,6.143
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT4G02280,1.008
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT4G15490,1.917
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT4G22880,-2.598
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT4G28420,6.698
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT4G31970,6.992
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G07200,1.216
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G19890,1.143
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G22300,4.067
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G36130,1.174
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G42600,-1.832
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G42800,-3.18
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G47000,-1.703
rbohD,root,ath01110,Biosynthesis of secondary metabolites,AT5G64110,2.057
rbohD,root,ath01200,Carbon metabolism,AT2G19900,1.316
rbohD,root,ath01200,Carbon metabolism,AT2G30660,7.342
rbohD,root,ath01200,Carbon metabolism,AT3G08860,1.2
rbohD,root,ath01200,Carbon metabolism,AT3G21720,2.412
rbohD,root,ath01210,2-Oxocarboxylic acid metabolism,AT3G08860,1.2
rbohD,root,ath01212,Fatty acid metabolism,AT3G02620,-1.058
rbohD,root,ath04075,Plant hormone signal transduction,AT5G13320,5.083
rbohD,root,ath04075,Plant hormone signal transduction,AT5G13370,1.748
rbohD,root,ath04075,Plant hormone signal transduction,AT5G50760,-1.154
rbohD,root,ath04141,Protein processing in endoplasmic reticulum,AT5G51440,1.012
rbohD,root,ath04142,Lysosome biogenesis,AT3G17790,1.109
rbohD,root,ath04626,Plant-pathogen interaction,AT3G47480,4.086
rbohD,root,ath04981,Folate transport and metabolism,AT3G22740,-1.766
rbohD,shoot,ath00040,Pentose and glucuronate interconversions,AT2G47550,-3.011
rbohD,shoot,ath00053,Ascorbate and aldarate metabolism,AT4G26260,-3.019
rbohD,shoot,ath00062,Fatty acid elongation,AT4G17470,-1.501
rbohD,shoot,ath00062,Fatty acid elongation,AT5G47330,-1.237
rbohD,shoot,ath00220,Arginine biosynthesis,AT5G07440,-1.042
rbohD,shoot,ath00230,Purine metabolism,AT1G14250,-1.169
rbohD,shoot,ath00240,Pyrimidine metabolism,AT1G14250,-1.169
rbohD,shoot,ath00250,"Alanine, aspartate and glutamate metabolism",AT5G07440,-1.042
rbohD,shoot,ath00260,"Glycine, serine and threonine metabolism",AT1G08630,-1.89
rbohD,shoot,ath00270,Cysteine and methionine metabolism,AT1G10070,-2.135
rbohD,shoot,ath00280,"Valine, leucine and isoleucine degradation",AT1G10070,-2.135
rbohD,shoot,ath00290,"Valine, leucine and isoleucine biosynthesis",AT1G10070,-2.135
rbohD,shoot,ath00330,Arginine and proline metabolism,AT5G61160,-1.163
rbohD,shoot,ath00500,Starch and sucrose metabolism,AT4G15210,-1.738
rbohD,shoot,ath00562,Inositol phosphate metabolism,AT4G26260,-3.019
rbohD,shoot,ath00770,Pantothenate and CoA biosynthesis,AT1G10070,-2.135
rbohD,shoot,ath00910,Nitrogen metabolism,AT5G07440,-1.042
rbohD,shoot,ath00966,Glucosinolate biosynthesis,AT1G10070,-2.135
rbohD,shoot,ath00999,Biosynthesis of various plant secondary metabolites,AT5G61160,-1.163
rbohD,shoot,ath01100,Metabolic pathways,AT1G08630,-1.89
rbohD,shoot,ath01100,Metabolic pathways,AT1G10070,-2.135
rbohD,shoot,ath01100,Metabolic pathways,AT1G14250,-1.169
rbohD,shoot,ath01100,Metabolic pathways,AT2G47550,-3.011
rbohD,shoot,ath01100,Metabolic pathways,AT4G15210,-1.738
rbohD,shoot,ath01100,Metabolic pathways,AT4G17470,-1.501
rbohD,shoot,ath01100,Metabolic pathways,AT4G26260,-3.019
rbohD,shoot,ath01100,Metabolic pathways,AT5G07440,-1.042
rbohD,shoot,ath01100,Metabolic pathways,AT5G47330,-1.237
rbohD,shoot,ath01100,Metabolic pathways,AT5G61160,-1.163
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G08630,-1.89
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G10070,-2.135
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G14250,-1.169
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,AT4G15210,-1.738
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,AT5G61160,-1.163
rbohD,shoot,ath01200,Carbon metabolism,AT5G07440,-1.042
rbohD,shoot,ath01210,2-Oxocarboxylic acid metabolism,AT1G10070,-2.135
rbohD,shoot,ath01212,Fatty acid metabolism,AT4G17470,-1.501
rbohD,shoot,ath01212,Fatty acid metabolism,AT5G47330,-1.237
rbohD,shoot,ath01230,Biosynthesis of amino acids,AT1G08630,-1.89
rbohD,shoot,ath01230,Biosynthesis of amino acids,AT1G10070,-2.135
rbohD,shoot,ath01232,Nucleotide metabolism,AT1G14250,-1.169
rbohD,shoot,ath01240,Biosynthesis of cofactors,AT1G10070,-2.135
rbohD,shoot,ath01250,Biosynthesis of nucleotide sugars,AT4G26260,-3.019
rbohD,shoot,ath04016,MAPK signaling pathway,AT2G26020,-2.245
rbohD,shoot,ath04142,Lysosome biogenesis,AT4G17470,-1.501
rbohD,shoot,ath04142,Lysosome biogenesis,AT5G47330,-1.237
