tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
root,AT3G47470,LHCA4,AT3G47470.1,up,1.5041087489967782,5.166603002,2.44e-10
root,AT2G30570,PSBW,AT2G30570.1,up,1.5015021256266141,4.993446031,6.5e-11
root,AT4G15620,integral membrane,AT4G15620.1,up,1.4982377634132829,6.52958018,6.11e-09
root,AT2G41940,ZFP8,AT2G41940.1,up,1.496953704282599,5.195367304,2.52e-09
root,AT1G66970,SVL2,AT1G66970.1,up,1.4937126912817125,4.8780934689999995,7.06e-12
root,AT4G11900,kinase,AT4G11900.1,up,1.4889227630517243,6.604015236,1.81e-16
root,AT1G30380,PSAK,AT1G30380.1,up,1.4887950623722355,4.637680155,5.37e-10
root,AT1G63360,CC-NBS-LRR,AT1G63360.1,up,1.4839945599995443,6.192520099,5.13e-16
root,ATCG00490,RBCL,ATCG00490.1,up,1.483569841466067,5.484202365,1e-14
root,AT1G18730,NDF6,AT1G18730.1,up,1.4776408351885384,5.43322704425,3.32e-13
root,AT4G25990,CIL,AT4G25990.1,up,1.4481185972123705,7.7645214075,5.63e-13
root,AT1G66940,kinase,AT1G66940.1,up,1.445968209762743,4.877308215,9e-11
root,AT2G17780,MCA2,AT2G17780.1,up,1.436573889577864,7.29472860875,2.88e-16
root,AT5G04140,GLUS,AT5G04140.2,up,1.4314378788436222,5.5305265640000005,1.65e-13
root,AT2G35370,GDCH,AT2G35370.1,up,1.4057963153885553,4.793869255,4.14e-10
root,AT5G35777,transposable element gene,AT5G35777.1,up,1.403657814575715,7.871878541,1.39e-06
root,AT2G37025,TRFL8,AT2G37025.2,up,1.39954567145061,4.0104255835,0.000162245
root,ATCG01250,-,ATCG01250.1,up,1.3849892747837462,3.272449252,0.026937131
root,AT3G55800,SBPASE,AT3G55800.1,up,1.3845516673588807,5.203831204,9.64e-11
root,AT1G31330,PSAF,AT1G31330.1,up,1.3696824619400176,5.173399569,3.71e-11
root,AT2G38540,LTP1,AT2G38540.1,up,1.35355319039318,4.659099729,2.6e-07
root,AT4G19530,TIR-NBS-LRR,AT4G19530.1,up,1.3422168004698032,4.922343881,1.68e-09
root,AT4G21280,PSBQA,AT4G21280.1,up,1.33885290188495,4.816129759,2.01e-11
root,AT5G64040,PSAN,AT5G64040.1,up,1.3303816552763612,5.0048822665,1.46e-10
root,AT2G44920,"thylakoid lumenal 15 kDa, chloroplast",AT2G44920.2,up,1.3106065419540636,4.5180813455,2.37e-10
root,AT4G02770,PSAD-1,AT4G02770.1,up,1.3024863411044842,4.599335181,7.43e-10
root,AT1G22590,AGL87,AT1G22590.1,up,1.2916077320032924,4.1416053595,1.11e-08
root,AT2G29310,tropinone reductase,AT2G29310.1,up,1.2810400032055118,4.882536565500001,1.93e-08
root,AT3G63140,CSP41A,AT3G63140.1,up,1.2746136198785525,4.733487707,1.09e-08
root,AT3G11110,zinc finger,AT3G11110.1,up,1.27075573950262,5.053956676,0.003927213
root,AT1G29670,lipase,AT1G29670.1,up,1.236114618497399,5.441422822,1.35e-14
root,AT1G25440,zinc finger,AT1G25440.1,up,1.2316334595648708,4.734971269,2.06e-10
root,AT5G53490,"thylakoid lumenal 17.4 kDa, chloroplast",AT5G53490.3,up,1.2136081081133052,5.168559917666666,3.3e-12
root,AT1G75690,chaperonin,AT1G75690.1,up,1.1991849043291996,4.471241419,3.66e-08
