gene,cell_type,tissue,source
AT2G22330,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G24260,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G24762,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G24870,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G28510,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G29125,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G30080,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G30590,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G30600,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G30890,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G31110,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G34930,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G35880,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G37330,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G37380,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G38640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G38860,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G39330,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G41140,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G42490,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G42760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G43100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G43150,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G46640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G46650,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G48030,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G02020,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G02500,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G02510,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G03190,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G04520,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G05190,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G05640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G06300,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G07130,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G07340,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G08640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G09035,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G10250,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G12145,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G15530,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G18560,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G18830,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G19380,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G19710,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G21750,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G22104,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G25710,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G26960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G28100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G28540,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G28860,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G28950,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G29670,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G30180,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G43800,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G45010,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G46130,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G48360,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G48550,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G49360,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G49580,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G50660,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G51895,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G52720,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G53960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G54400,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G54600,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G56200,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G58990,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G59140,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G59760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G61460,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G61820,bundle sheath,shoot,PCMDB:SingleCellSeq
AT3G63440,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G01335,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G03415,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G03560,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G03610,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G04830,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G08685,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G10150,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G11211,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G12030,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G13770,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G14040,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G14680,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G14830,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G15450,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G15490,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G19450,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G20860,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G21760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G22200,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G22620,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G22756,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G22990,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G23770,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G24060,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G25500,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G25780,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G27070,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G27830,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G29100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G29210,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G30020,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G30110,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G31420,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G31500,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G32480,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G32980,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G33300,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G34138,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G34200,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G34750,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G37520,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G37530,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G37580,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G38400,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G38670,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G39640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G39940,bundle sheath,shoot,PCMDB:SingleCellSeq
AT4G39950,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G01500,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G04470,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G04950,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G05730,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G06865,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G07460,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G07690,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G07700,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G07710,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G09760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G09990,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G10030,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G10180,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G10770,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G12080,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G12110,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G12170,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G13550,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G14090,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G14200,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G14450,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G14880,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G16190,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G18310,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G18490,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G19875,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G20885,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G20950,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G23010,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G23510,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G23870,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G24655,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G28030,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G33290,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G36880,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G41920,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G42750,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G43760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G44582,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G46690,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G46730,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G47910,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G48960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G49630,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G50160,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G51560,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G53370,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G53550,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G58960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G59780,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G60890,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G60970,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G61420,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G61660,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G62680,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G63970,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G64900,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G65310,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G67150,bundle sheath,shoot,PCMDB:SingleCellSeq
AT5G67350,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G01300,guard cell,shoot,PCMDB:SingleCellSeq
AT1G01510,guard cell,shoot,PCMDB:SingleCellSeq
AT1G01640,guard cell,shoot,PCMDB:SingleCellSeq
AT1G03290,guard cell,shoot,PCMDB:SingleCellSeq
AT1G03440,guard cell,shoot,PCMDB:SingleCellSeq
AT1G03590,guard cell,shoot,PCMDB:SingleCellSeq
AT1G04140,guard cell,shoot,PCMDB:SingleCellSeq
AT1G04920,guard cell,shoot,PCMDB:SingleCellSeq
AT1G05300,guard cell,shoot,PCMDB:SingleCellSeq
AT1G05710,guard cell,shoot,PCMDB:SingleCellSeq
AT1G05785,guard cell,shoot,PCMDB:SingleCellSeq
AT1G05835,guard cell,shoot,PCMDB:SingleCellSeq
AT1G06210,guard cell,shoot,PCMDB:SingleCellSeq
AT1G06475,guard cell,shoot,PCMDB:SingleCellSeq
AT1G06640,guard cell,shoot,PCMDB:SingleCellSeq
AT1G07040,guard cell,shoot,PCMDB:SingleCellSeq
AT1G07990,guard cell,shoot,PCMDB:SingleCellSeq
AT1G08630,guard cell,shoot,PCMDB:SingleCellSeq
AT1G08680,guard cell,shoot,PCMDB:SingleCellSeq
AT1G09870,guard cell,shoot,PCMDB:SingleCellSeq
AT1G10120,guard cell,shoot,PCMDB:SingleCellSeq
AT1G10290,guard cell,shoot,PCMDB:SingleCellSeq
AT1G10410,guard cell,shoot,PCMDB:SingleCellSeq
AT1G10610,guard cell,shoot,PCMDB:SingleCellSeq
AT1G11175,guard cell,shoot,PCMDB:SingleCellSeq
AT1G11450,guard cell,shoot,PCMDB:SingleCellSeq
AT1G11700,guard cell,shoot,PCMDB:SingleCellSeq
AT1G12320,guard cell,shoot,PCMDB:SingleCellSeq
AT1G12420,guard cell,shoot,PCMDB:SingleCellSeq
AT1G14170,guard cell,shoot,PCMDB:SingleCellSeq
AT1G14380,guard cell,shoot,PCMDB:SingleCellSeq
AT1G14460,guard cell,shoot,PCMDB:SingleCellSeq
AT1G15100,guard cell,shoot,PCMDB:SingleCellSeq
AT1G15970,guard cell,shoot,PCMDB:SingleCellSeq
AT1G16680,guard cell,shoot,PCMDB:SingleCellSeq
AT1G16850,guard cell,shoot,PCMDB:SingleCellSeq
AT1G16960,guard cell,shoot,PCMDB:SingleCellSeq
AT1G17090,guard cell,shoot,PCMDB:SingleCellSeq
AT1G17550,guard cell,shoot,PCMDB:SingleCellSeq
AT1G17830,guard cell,shoot,PCMDB:SingleCellSeq
AT1G17940,guard cell,shoot,PCMDB:SingleCellSeq
AT1G18840,guard cell,shoot,PCMDB:SingleCellSeq
AT1G19160,guard cell,shoot,PCMDB:SingleCellSeq
AT1G19360,guard cell,shoot,PCMDB:SingleCellSeq
AT1G19610,guard cell,shoot,PCMDB:SingleCellSeq
AT1G19870,guard cell,shoot,PCMDB:SingleCellSeq
AT1G20490,guard cell,shoot,PCMDB:SingleCellSeq
AT1G20890,guard cell,shoot,PCMDB:SingleCellSeq
AT1G20970,guard cell,shoot,PCMDB:SingleCellSeq
AT1G21090,guard cell,shoot,PCMDB:SingleCellSeq
AT1G21660,guard cell,shoot,PCMDB:SingleCellSeq
AT1G23040,guard cell,shoot,PCMDB:SingleCellSeq
AT1G23150,guard cell,shoot,PCMDB:SingleCellSeq
AT1G23170,guard cell,shoot,PCMDB:SingleCellSeq
AT1G23380,guard cell,shoot,PCMDB:SingleCellSeq
AT1G23830,guard cell,shoot,PCMDB:SingleCellSeq
AT1G24764,guard cell,shoot,PCMDB:SingleCellSeq
AT1G26300,guard cell,shoot,PCMDB:SingleCellSeq
AT1G26440,guard cell,shoot,PCMDB:SingleCellSeq
AT1G26665,guard cell,shoot,PCMDB:SingleCellSeq
AT1G26940,guard cell,shoot,PCMDB:SingleCellSeq
AT1G27670,guard cell,shoot,PCMDB:SingleCellSeq
AT1G27680,guard cell,shoot,PCMDB:SingleCellSeq
AT1G28330,guard cell,shoot,PCMDB:SingleCellSeq
AT1G29050,guard cell,shoot,PCMDB:SingleCellSeq
AT1G29760,guard cell,shoot,PCMDB:SingleCellSeq
AT1G30040,guard cell,shoot,PCMDB:SingleCellSeq
AT1G30515,guard cell,shoot,PCMDB:SingleCellSeq
AT1G31730,guard cell,shoot,PCMDB:SingleCellSeq
AT1G31850,guard cell,shoot,PCMDB:SingleCellSeq
AT1G32760,guard cell,shoot,PCMDB:SingleCellSeq
AT1G33470,guard cell,shoot,PCMDB:SingleCellSeq
AT1G34020,guard cell,shoot,PCMDB:SingleCellSeq
AT1G35320,guard cell,shoot,PCMDB:SingleCellSeq
AT1G36070,guard cell,shoot,PCMDB:SingleCellSeq
AT1G44608,guard cell,shoot,PCMDB:SingleCellSeq
AT1G44760,guard cell,shoot,PCMDB:SingleCellSeq
AT1G46264,guard cell,shoot,PCMDB:SingleCellSeq
AT1G46554,guard cell,shoot,PCMDB:SingleCellSeq
AT1G47310,guard cell,shoot,PCMDB:SingleCellSeq
AT1G48100,guard cell,shoot,PCMDB:SingleCellSeq
AT1G49050,guard cell,shoot,PCMDB:SingleCellSeq
AT1G49200,guard cell,shoot,PCMDB:SingleCellSeq
AT1G49670,guard cell,shoot,PCMDB:SingleCellSeq
AT1G50630,guard cell,shoot,PCMDB:SingleCellSeq
AT1G51170,guard cell,shoot,PCMDB:SingleCellSeq
AT1G51390,guard cell,shoot,PCMDB:SingleCellSeq
AT1G52540,guard cell,shoot,PCMDB:SingleCellSeq
AT1G52890,guard cell,shoot,PCMDB:SingleCellSeq
AT1G52910,guard cell,shoot,PCMDB:SingleCellSeq
AT1G53290,guard cell,shoot,PCMDB:SingleCellSeq
AT1G54115,guard cell,shoot,PCMDB:SingleCellSeq
AT1G54920,guard cell,shoot,PCMDB:SingleCellSeq
AT1G55210,guard cell,shoot,PCMDB:SingleCellSeq
AT1G55810,guard cell,shoot,PCMDB:SingleCellSeq
AT1G56010,guard cell,shoot,PCMDB:SingleCellSeq
AT1G56170,guard cell,shoot,PCMDB:SingleCellSeq
AT1G56440,guard cell,shoot,PCMDB:SingleCellSeq
AT1G59640,guard cell,shoot,PCMDB:SingleCellSeq
AT1G60420,guard cell,shoot,PCMDB:SingleCellSeq
AT1G60610,guard cell,shoot,PCMDB:SingleCellSeq
AT1G61170,guard cell,shoot,PCMDB:SingleCellSeq
AT1G61670,guard cell,shoot,PCMDB:SingleCellSeq
AT1G61770,guard cell,shoot,PCMDB:SingleCellSeq
AT1G61930,guard cell,shoot,PCMDB:SingleCellSeq
AT1G62020,guard cell,shoot,PCMDB:SingleCellSeq
AT1G62300,guard cell,shoot,PCMDB:SingleCellSeq
AT1G62480,guard cell,shoot,PCMDB:SingleCellSeq
AT1G62710,guard cell,shoot,PCMDB:SingleCellSeq
AT1G63180,guard cell,shoot,PCMDB:SingleCellSeq
AT1G64660,guard cell,shoot,PCMDB:SingleCellSeq
AT1G65910,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67030,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67070,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67265,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67300,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67365,guard cell,shoot,PCMDB:SingleCellSeq
AT1G67830,guard cell,shoot,PCMDB:SingleCellSeq
AT1G68020,guard cell,shoot,PCMDB:SingleCellSeq
AT1G68060,guard cell,shoot,PCMDB:SingleCellSeq
AT1G68110,guard cell,shoot,PCMDB:SingleCellSeq
AT1G68130,guard cell,shoot,PCMDB:SingleCellSeq
AT1G68220,guard cell,shoot,PCMDB:SingleCellSeq
AT1G69310,guard cell,shoot,PCMDB:SingleCellSeq
AT1G70020,guard cell,shoot,PCMDB:SingleCellSeq
AT1G70710,guard cell,shoot,PCMDB:SingleCellSeq
AT1G71050,guard cell,shoot,PCMDB:SingleCellSeq
AT1G72690,guard cell,shoot,PCMDB:SingleCellSeq
AT1G72770,guard cell,shoot,PCMDB:SingleCellSeq
AT1G72790,guard cell,shoot,PCMDB:SingleCellSeq
AT1G74210,guard cell,shoot,PCMDB:SingleCellSeq
AT1G75390,guard cell,shoot,PCMDB:SingleCellSeq
AT1G75490,guard cell,shoot,PCMDB:SingleCellSeq
AT1G75730,guard cell,shoot,PCMDB:SingleCellSeq
AT1G75760,guard cell,shoot,PCMDB:SingleCellSeq
AT1G76460,guard cell,shoot,PCMDB:SingleCellSeq
AT1G76590,guard cell,shoot,PCMDB:SingleCellSeq
AT1G77420,guard cell,shoot,PCMDB:SingleCellSeq
AT1G77520,guard cell,shoot,PCMDB:SingleCellSeq
AT1G77530,guard cell,shoot,PCMDB:SingleCellSeq
AT1G77690,guard cell,shoot,PCMDB:SingleCellSeq
AT1G77920,guard cell,shoot,PCMDB:SingleCellSeq
AT1G78110,guard cell,shoot,PCMDB:SingleCellSeq
AT1G78800,guard cell,shoot,PCMDB:SingleCellSeq
AT1G78880,guard cell,shoot,PCMDB:SingleCellSeq
AT1G79500,guard cell,shoot,PCMDB:SingleCellSeq
AT1G79610,guard cell,shoot,PCMDB:SingleCellSeq
AT1G79640,guard cell,shoot,PCMDB:SingleCellSeq
AT1G79940,guard cell,shoot,PCMDB:SingleCellSeq
AT1G79990,guard cell,shoot,PCMDB:SingleCellSeq
AT1G80610,guard cell,shoot,PCMDB:SingleCellSeq
AT2G01190,guard cell,shoot,PCMDB:SingleCellSeq
AT2G01540,guard cell,shoot,PCMDB:SingleCellSeq
AT2G02240,guard cell,shoot,PCMDB:SingleCellSeq
AT2G04885,guard cell,shoot,PCMDB:SingleCellSeq
AT2G04940,guard cell,shoot,PCMDB:SingleCellSeq
AT2G14740,guard cell,shoot,PCMDB:SingleCellSeq
AT2G15240,guard cell,shoot,PCMDB:SingleCellSeq
AT2G15292,guard cell,shoot,PCMDB:SingleCellSeq
AT2G15830,guard cell,shoot,PCMDB:SingleCellSeq
AT2G16595,guard cell,shoot,PCMDB:SingleCellSeq
AT2G16790,guard cell,shoot,PCMDB:SingleCellSeq
AT2G17780,guard cell,shoot,PCMDB:SingleCellSeq
AT2G17980,guard cell,shoot,PCMDB:SingleCellSeq
AT2G17990,guard cell,shoot,PCMDB:SingleCellSeq
AT2G18840,guard cell,shoot,PCMDB:SingleCellSeq
AT2G19130,guard cell,shoot,PCMDB:SingleCellSeq
AT2G19350,guard cell,shoot,PCMDB:SingleCellSeq
AT2G19810,guard cell,shoot,PCMDB:SingleCellSeq
AT2G19880,guard cell,shoot,PCMDB:SingleCellSeq
AT2G20550,guard cell,shoot,PCMDB:SingleCellSeq
AT2G21060,guard cell,shoot,PCMDB:SingleCellSeq
AT2G21390,guard cell,shoot,PCMDB:SingleCellSeq
AT2G21560,guard cell,shoot,PCMDB:SingleCellSeq
AT2G21590,guard cell,shoot,PCMDB:SingleCellSeq
AT2G21660,guard cell,shoot,PCMDB:SingleCellSeq
AT2G22120,guard cell,shoot,PCMDB:SingleCellSeq
AT2G22420,guard cell,shoot,PCMDB:SingleCellSeq
AT2G22570,guard cell,shoot,PCMDB:SingleCellSeq
AT2G23700,guard cell,shoot,PCMDB:SingleCellSeq
AT2G24945,guard cell,shoot,PCMDB:SingleCellSeq
AT2G25770,guard cell,shoot,PCMDB:SingleCellSeq
AT2G25780,guard cell,shoot,PCMDB:SingleCellSeq
AT2G26355,guard cell,shoot,PCMDB:SingleCellSeq
AT2G26730,guard cell,shoot,PCMDB:SingleCellSeq
AT2G26770,guard cell,shoot,PCMDB:SingleCellSeq
AT2G27510,guard cell,shoot,PCMDB:SingleCellSeq
AT2G28200,guard cell,shoot,PCMDB:SingleCellSeq
AT2G28420,guard cell,shoot,PCMDB:SingleCellSeq
AT2G28570,guard cell,shoot,PCMDB:SingleCellSeq
AT2G28790,guard cell,shoot,PCMDB:SingleCellSeq
AT2G29995,guard cell,shoot,PCMDB:SingleCellSeq
AT2G31585,guard cell,shoot,PCMDB:SingleCellSeq
AT2G31900,guard cell,shoot,PCMDB:SingleCellSeq
AT2G31940,guard cell,shoot,PCMDB:SingleCellSeq
AT2G31945,guard cell,shoot,PCMDB:SingleCellSeq
AT2G32270,guard cell,shoot,PCMDB:SingleCellSeq
AT2G32430,guard cell,shoot,PCMDB:SingleCellSeq
AT2G32900,guard cell,shoot,PCMDB:SingleCellSeq
AT2G32980,guard cell,shoot,PCMDB:SingleCellSeq
AT2G33400,guard cell,shoot,PCMDB:SingleCellSeq
AT2G33860,guard cell,shoot,PCMDB:SingleCellSeq
AT2G34655,guard cell,shoot,PCMDB:SingleCellSeq
AT2G35120,guard cell,shoot,PCMDB:SingleCellSeq
AT2G35736,guard cell,shoot,PCMDB:SingleCellSeq
AT2G36307,guard cell,shoot,PCMDB:SingleCellSeq
AT2G37060,guard cell,shoot,PCMDB:SingleCellSeq
AT2G37150,guard cell,shoot,PCMDB:SingleCellSeq
AT2G39810,guard cell,shoot,PCMDB:SingleCellSeq
AT2G39870,guard cell,shoot,PCMDB:SingleCellSeq
AT2G40120,guard cell,shoot,PCMDB:SingleCellSeq
AT2G40420,guard cell,shoot,PCMDB:SingleCellSeq
AT2G40940,guard cell,shoot,PCMDB:SingleCellSeq
AT2G40950,guard cell,shoot,PCMDB:SingleCellSeq
AT2G41190,guard cell,shoot,PCMDB:SingleCellSeq
AT2G41710,guard cell,shoot,PCMDB:SingleCellSeq
AT2G41760,guard cell,shoot,PCMDB:SingleCellSeq
AT2G41780,guard cell,shoot,PCMDB:SingleCellSeq
AT2G41900,guard cell,shoot,PCMDB:SingleCellSeq
AT2G43080,guard cell,shoot,PCMDB:SingleCellSeq
AT2G45590,guard cell,shoot,PCMDB:SingleCellSeq
AT2G45600,guard cell,shoot,PCMDB:SingleCellSeq
AT2G45620,guard cell,shoot,PCMDB:SingleCellSeq
AT2G45880,guard cell,shoot,PCMDB:SingleCellSeq
AT2G45890,guard cell,shoot,PCMDB:SingleCellSeq
AT2G46000,guard cell,shoot,PCMDB:SingleCellSeq
AT2G46070,guard cell,shoot,PCMDB:SingleCellSeq
AT2G46420,guard cell,shoot,PCMDB:SingleCellSeq
AT2G47260,guard cell,shoot,PCMDB:SingleCellSeq
AT2G47500,guard cell,shoot,PCMDB:SingleCellSeq
AT2G47780,guard cell,shoot,PCMDB:SingleCellSeq
AT3G01400,guard cell,shoot,PCMDB:SingleCellSeq
AT3G02550,guard cell,shoot,PCMDB:SingleCellSeq
AT3G03180,guard cell,shoot,PCMDB:SingleCellSeq
AT3G03310,guard cell,shoot,PCMDB:SingleCellSeq
AT3G03320,guard cell,shoot,PCMDB:SingleCellSeq
AT3G04350,guard cell,shoot,PCMDB:SingleCellSeq
AT3G04420,guard cell,shoot,PCMDB:SingleCellSeq
AT3G05030,guard cell,shoot,PCMDB:SingleCellSeq
AT3G05330,guard cell,shoot,PCMDB:SingleCellSeq
AT3G05420,guard cell,shoot,PCMDB:SingleCellSeq
AT3G05510,guard cell,shoot,PCMDB:SingleCellSeq
AT3G06030,guard cell,shoot,PCMDB:SingleCellSeq
AT3G06160,guard cell,shoot,PCMDB:SingleCellSeq
AT3G06360,guard cell,shoot,PCMDB:SingleCellSeq
AT3G06850,guard cell,shoot,PCMDB:SingleCellSeq
AT3G06860,guard cell,shoot,PCMDB:SingleCellSeq
AT3G07810,guard cell,shoot,PCMDB:SingleCellSeq
AT3G08680,guard cell,shoot,PCMDB:SingleCellSeq
AT3G08930,guard cell,shoot,PCMDB:SingleCellSeq
AT3G08990,guard cell,shoot,PCMDB:SingleCellSeq
AT3G09030,guard cell,shoot,PCMDB:SingleCellSeq
AT3G09320,guard cell,shoot,PCMDB:SingleCellSeq
AT3G09730,guard cell,shoot,PCMDB:SingleCellSeq
AT3G10190,guard cell,shoot,PCMDB:SingleCellSeq
AT3G10300,guard cell,shoot,PCMDB:SingleCellSeq
