COL00 Root	COL00 Shoot	CAX22 Root	CAX22 Shoot	RBOHD Root	COL00 Root|COL00 Shoot	COL00 Root|CAX22 Root	COL00 Root|CAX22 Shoot	COL00 Root|RBOHD Root	COL00 Shoot|CAX22 Root	COL00 Shoot|CAX22 Shoot	COL00 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot	CAX22 Root|RBOHD Root	CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root	COL00 Root|COL00 Shoot|RBOHD Root	COL00 Root|CAX22 Root|RBOHD Root	COL00 Root|CAX22 Shoot|RBOHD Root	COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Shoot|CAX22 Shoot|RBOHD Root	CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root	COL00 Root|CAX22 Root|CAX22 Shoot|RBOHD Root	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root	RBOHD Shoot	RBOHD Root|RBOHD Shoot	CAX22 Shoot|RBOHD Shoot	CAX22 Shoot|RBOHD Root|RBOHD Shoot	CAX22 Root|RBOHD Shoot	CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Shoot	COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Shoot|CAX22 Shoot|RBOHD Shoot	COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|RBOHD Shoot	COL00 Root|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Shoot	COL00 Root|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Shoot|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|RBOHD Root|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Shoot	COL00 Root|COL00 Shoot|CAX22 Root|CAX22 Shoot|RBOHD Root|RBOHD Shoot
AT2G37900	AT5G63600	AT3G27690	AT5G04960	AT2G34890				AT4G32950								AT5G23840											AT1G09500						AT4G15610																	
AT1G11925	AT2G34500	AT1G53480	AT5G46730	AT3G53840				AT5G23980								AT5G23840											AT3G60170						AT1G61820																	
AT1G12030	ATMG00970	AT1G70820	AT5G46730	AT1G45616				AT5G52390								AT4G36670											AT1G14250						AT1G61820																	
AT3G21352	AT2G18660	AT4G18970	AT5G48110	AT3G58150				AT1G80240								AT3G63380											AT3G31980						AT4G23150																	
AT2G22960	AT5G11210	AT4G18970	AT3G23800	AT5G52310				AT2G29010								AT3G56400											AT3G23955						ATMG01240																	
AT3G43350	ATCG00840	AT5G49740	AT3G31950	AT5G36130				AT1G51870								AT1G17170											AT2G07560						AT3G45860																	
AT1G56430	ATCG00930	AT4G12320	AT3G20940	AT5G46370				AT5G51870								AT1G30730											AT4G05280						AT3G59930																	
AT5G37970	ATMG00990	AT3G01345	AT1G05135	AT5G16980				AT5G51870								AT1G66600											AT3G23470						AT1G78355																	
AT3G42380	AT3G51330	AT3G16670	AT5G38870	AT3G20380				AT3G16530								AT2G19500											AT5G19110						AT1G73325																	
AT2G27550	AT3G61730	AT3G14420	AT2G34020	AT3G45000				AT3G27950								AT2G44370											AT5G51060						AT1G73010																	
AT3G43460	ATCG00900	AT3G14420	AT1G74500	AT4G14548				AT5G52790								AT4G30270											AT1G66570						AT4G15210																	
AT5G17523	AT1G78780	AT3G62550	AT2G23540	AT5G39110				AT1G19390								AT3G44870											AT1G66570						AT4G15210																	
AT1G65500	AT3G61510	AT3G14420	AT1G15210	AT4G07960				AT1G25210								AT3G54150											AT1G66570						AT5G38250																	
AT5G61730	AT4G37070	AT3G14420	AT1G51880	AT2G16810				AT1G25210								AT5G50200											AT5G44430						AT4G36700																	
AT5G54067	AT2G13810	AT3G14420	AT1G12560	AT3G03540				AT4G04710								AT5G50200											AT3G43250						AT3G47340																	
AT5G52400	AT2G32680	AT3G14420	AT3G25930	AT4G16560				AT3G29780								AT5G50200											AT1G56650						AT3G47340																	
AT1G19960	ATMG00710	AT2G20570	ATCG01000	AT3G44490				AT5G39050								AT5G25260											AT1G69230						AT3G47340																	
AT4G01430	AT3G61500	AT2G20570	AT2G38380	AT2G33710				AT3G03670																			AT1G69230						AT4G23140																	
AT4G14020	AT5G43580	AT3G04290	AT5G66690	AT2G33710				AT1G45015																			AT1G52400						AT4G23140																	
AT3G58740	AT5G06740	AT3G05727	AT2G03250	AT5G41750				AT1G45015																			AT1G52400						AT5G05250																	
AT5G28510	AT4G37070	AT4G13500	AT2G32690	AT4G33930				AT5G22890																			AT1G52400						AT3G13433																	
AT5G17720	AT1G64940	AT3G04210	AT2G32690	AT3G45000				AT1G17180																			AT5G53450						AT1G35230																	
AT2G39980	AT1G62440	AT2G27385	AT2G32690	AT3G49520				AT4G25100																			AT5G53450						ATMG01020																	
AT4G15370	AT1G74080	AT2G27385	AT2G32690	AT5G60770				AT4G25100																			AT1G52030						AT4G20000																	
AT2G48090	AT3G53480	AT2G27385	AT1G74460	AT5G51440				AT4G25100																			AT3G14520						AT5G07440																	
AT1G15540	AT4G37070	AT4G28780	AT1G18020	AT3G27250				AT4G25100																			AT1G08830						AT4G30280																	
AT1G52060	AT4G37070	AT3G54890	AT2G16980	AT5G39120				AT4G25100																			AT1G08830						AT1G10070																	
AT2G36970	AT1G55790	AT3G54890	AT4G01820	AT5G07330				AT4G30670																			AT1G52030						AT1G10070																	
AT3G43570	AT5G59670	AT3G54890	AT3G31910	AT3G47260				AT4G17340																			AT1G77950						AT1G10070																	
AT3G43530	AT4G39670	AT2G05100	AT3G48340	AT3G59580				AT5G13330																			AT3G32000						AT1G52040																	
AT1G35310	AT4G25810	AT1G52230	AT4G22810	AT3G59580				AT5G10180																			AT3G23955						AT5G07440																	
AT3G43330	AT5G13080	AT4G28750	AT5G58860	AT5G06500				AT2G39510																			AT5G65980						AT5G07440																	
AT3G47510	AT1G13470	AT3G54890	AT4G15340	AT1G54950				AT4G37235																			AT3G05155						AT2G28190																	
