CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,COL00ROOTFL-COL00ROOTGC,COL00ROOTFL-COL00ROOTGC,COL00SHOOTFL-COL00SHOOTGC,COL00SHOOTFL-COL00SHOOTGC
"UP, 180 genes","Down, 0 genes","UP, 12 genes","Down, 113 genes","UP, 7 genes","Down, 4 genes","UP, 53 genes","Down, 121 genes","UP, 352 genes","Down, 459 genes","UP, 16 genes","Down, 13 genes","UP, 325 genes","Down, 45 genes","UP, 18 genes","Down, 143 genes","UP, 204 genes","Down, 90 genes","UP, 299 genes","Down, 33 genes"
AT1G66970,,,AT1G78160,,,AT4G15890,AT2G11300,AT1G28430,AT1G29190,,,AT1G26420,AT5G19110,,AT2G01340,AT1G51420,AT2G34960,AT1G26420,
AT1G68520,,,AT1G79860,,,AT4G21830,AT2G15060,AT1G29290,AT1G29920,,,AT1G29860,AT5G20240,,AT2G01610,AT1G52343,AT2G36110,AT1G29290,
AT1G68530,,,AT1G80590,,,AT4G23700,AT2G15810,AT1G29740,AT1G30140,,,AT1G30515,AT5G20260,,AT2G03200,AT1G54575,AT3G02620,AT1G30700,
AT1G68600,,,AT1G80840,,,AT4G25540,AT2G17880,AT1G29860,AT1G30260,,,AT1G30700,AT5G38200,,AT2G05995,AT1G56150,AT3G10870,AT1G30720,
AT1G68780,,,AT2G01029,,,AT4G34510,AT2G23690,AT1G32350,AT1G31885,,,AT1G30720,AT5G38780,,AT2G06002,AT1G56430,AT3G13840,AT1G30730,
AT1G69730,,,AT2G01034,,,AT5G07010,AT2G24600,AT1G32960,AT1G33817,,,AT1G30900,AT5G47330,,AT2G15042,AT1G56600,AT3G13950,AT1G30900,
AT1G69930,,,AT2G05720,,,AT5G11330,AT2G24610,AT1G33612,AT1G33840,,,AT1G32350,AT5G53870,,AT2G15810,AT1G57640,AT3G16530,AT1G32350,
AT1G71140,,,AT2G05995,,,AT5G13080,AT2G27080,AT1G43800,AT1G34044,,,AT1G32960,AT5G61350,,AT2G17880,AT1G58320,AT3G25790,AT1G32940,
AT1G73830,,,AT2G06002,,,AT5G15130,AT2G30020,AT1G44130,AT1G34050,,,AT1G33030,,,AT2G18370,AT1G60470,AT3G28345,AT1G35230,
AT1G77210,,,AT2G06860,,,AT5G20640,AT2G32030,AT1G44890,AT1G35290,,,AT1G35230,,,AT2G20142,AT1G60750,AT3G29078,AT1G44130,
AT2G03310,,,AT2G07070,,,AT5G24090,AT2G32190,AT1G47395,AT1G35350,,,AT1G35260,,,AT2G23540,AT1G61130,AT3G29767,AT1G47395,
AT2G03550,,,AT2G11320,,,AT5G26290,AT2G32210,AT1G47400,AT1G43140,,,AT1G35710,,,AT2G28400,AT1G62290,AT3G29780,AT1G47400,
AT2G03750,,,AT2G12360,,,AT5G43040,AT2G33580,AT1G47960,AT1G44030,,,AT1G44130,,,AT2G32030,AT1G62420,AT3G30720,AT1G47840,
AT2G03980,,,AT2G12385,,,AT5G55050,AT2G35710,AT1G48000,AT1G44050,,,AT1G45145,,,AT2G32190,AT1G63750,AT3G44755,AT1G47890,
