Up Shoot,Down Shoot,Up Root,Down Root,Up Shoot|Up Root,Up Shoot|Down Root,Down Shoot|Up Root,Down Shoot|Down Root
AT4G25000.1,AT2G11810.1,AT2G34890.1,AT4G33290.1,,,,AT5G24380.1
AT4G25810.1,AT4G11370.1,AT1G07540.1,AT5G43150.1,,,,AT3G21080.1
AT1G62440.1,ATMG00480.1,AT3G16660.1,AT3G18260.1,,,,AT4G14450.1
AT1G08630.5,AT5G16230.1,AT1G33817.1,AT1G04310.1,,,,AT3G63380.1
AT2G34930.1,AT5G44568.1,AT4G08875.1,AT1G19715.1,,,,AT3G08860.1
AT2G21460.1,AT3G49120.1,AT1G04457.1,AT3G08770.2,,,,AT1G02580.1
AT5G15800.2,AT1G79400.1,AT5G35965.1,AT1G31880.1,,,,AT1G32960.1
AT5G15800.1,AT2G46440.1,AT2G27420.1,AT5G43330.1,,,,AT2G47140.1
AT3G29575.4,AT5G49330.1,AT1G45035.1,AT3G48690.1,,,,AT3G30120.1
AT5G50640.1,AT4G28280.2,AT3G63160.1,AT2G41290.1,,,,AT5G06730.1
AT1G15380.1,AT2G15040.1,AT5G53635.1,AT1G79470.1,,,,AT3G25882.1
AT3G29575.3,AT3G01830.2,AT3G31960.1,AT3G25900.3,,,,AT5G11210.1
AT1G15380.2,AT4G32870.1,AT5G58390.1,AT3G25900.1,,,,AT1G02230.1
AT2G34600.1,AT3G04300.1,AT5G54148.1,AT3G25900.2,,,,AT2G04050.1
AT3G29575.1,AT3G21330.1,ATMG00030.1,ATMG01275.1,,,,AT4G35180.1
AT5G07450.1,AT1G51800.1,AT5G49730.1,AT4G34250.1,,,,AT5G64810.1
AT1G05260.1,AT5G05270.2,AT2G21920.1,AT5G08380.1,,,,AT2G44370.1
AT5G20230.1,AT5G05270.1,AT4G10520.1,AT1G62570.1,,,,AT5G13320.1
AT1G10770.1,AT1G45145.1,AT5G46810.1,AT1G11915.1,,,,AT1G28640.1
AT1G07610.1,AT1G24140.1,AT2G28270.1,AT1G21130.1,,,,AT5G24530.1
AT1G29270.1,ATMG00550.1,AT3G31910.1,AT5G10580.1,,,,AT1G05880.2
AT2G26010.1,AT5G11920.1,AT1G29910.1,AT5G23480.1,,,,AT1G73010.1
AT1G54020.1,AT2G04100.1,AT3G53770.2,AT1G18310.1,,,,AT1G22150.1
AT1G54020.2,ATMG00540.1,AT1G57780.1,AT5G54490.1,,,,AT4G23320.1
AT1G54020.3,AT1G34420.1,AT2G09589.1,AT5G57190.1,,,,AT5G48410.1
AT5G05965.1,AT1G66725.1,AT3G24790.1,AT3G21510.1,,,,AT1G02450.1
AT2G26150.1,ATMG00490.1,AT3G31930.1,AT2G35742.1,,,,AT3G12500.1
AT4G13800.1,ATMG00500.1,AT4G19430.1,AT3G10120.1,,,,AT2G20800.1
AT1G69230.1,ATMG00530.1,AT1G22680.1,AT1G51700.1,,,,AT1G05880.1
AT1G69230.2,AT1G17860.1,AT1G74820.1,AT3G08770.1,,,,AT5G22570.1
AT4G36060.2,AT2G43140.2,AT2G23400.1,AT1G20620.4,,,,AT5G05250.1
AT1G67265.1,AT2G15042.1,AT5G03120.1,AT2G38290.1,,,,AT1G67810.1
AT2G38465.1,ATMG01200.1,AT1G71290.1,AT1G20620.5,,,,AT1G59171.1
AT2G32290.1,AT3G18290.1,AT5G38096.1,AT5G01820.1,,,,AT1G59171.2
AT3G19270.1,AT5G07770.2,AT2G15555.1,AT1G72940.1,,,,AT4G11655.1
AT5G53870.1,AT4G14690.1,AT4G02160.1,AT5G49340.1,,,,AT5G05340.1
AT4G36060.1,AT3G22231.1,AT4G18970.2,AT1G20620.1,,,,AT1G30720.1
AT4G01080.1,AT5G07770.1,AT5G46880.1,AT1G69410.1,,,,AT4G20000.1
AT2G20150.1,AT2G40610.1,AT3G13820.1,AT4G29190.1,,,,AT3G49580.1
AT5G18840.1,AT5G64000.1,AT3G31950.1,AT5G64550.1,,,,AT5G42830.1
AT2G26150.2,AT3G54040.1,AT1G45020.1,AT5G64552.1,,,,AT3G49580.2
AT1G52030.1,AT3G53480.1,AT4G18970.1,AT5G53830.1,,,,AT1G68620.1
AT1G19540.1,AT2G24160.1,AT5G53190.1,AT1G01600.1,,,,AT1G02920.1
AT4G30450.1,AT5G27420.1,AT1G63060.1,AT4G29140.1,,,,AT1G26420.1
AT5G51480.1,AT1G36620.1,AT3G04545.1,AT1G20620.2,,,,AT5G04150.1
AT1G52030.2,AT4G21903.1,AT1G60280.1,AT4G17905.1,,,,AT2G29350.1
AT1G20065.1,AT5G11920.2,AT3G15840.1,AT3G10450.1,,,,AT2G29350.2
AT5G38780.1,AT3G41762.1,AT3G15840.2,AT3G10450.2,,,,AT2G29350.3
AT4G30290.1,AT1G65790.1,AT3G15840.3,AT2G18600.1,,,,AT2G45760.1
AT3G61900.1,AT1G21525.1,AT3G15840.5,AT4G25310.1,,,,AT1G79680.1
AT3G46370.1,AT5G66110.1,AT4G17245.1,AT1G78480.1,,,,AT3G12502.1
AT2G26020.1,AT4G39950.1,AT4G02733.1,AT5G02200.1,,,,AT1G17710.2
AT1G18265.1,AT1G29230.1,AT5G54062.1,AT5G48060.1,,,,AT1G17710.1
AT5G15970.1,AT5G49600.1,AT3G15840.4,AT1G28260.2,,,,AT3G48850.1
AT1G35140.1,AT4G37900.1,AT1G02965.1,AT3G13090.1,,,,AT2G34210.1
AT3G19710.1,AT2G43140.1,AT5G33370.1,AT5G41470.1,,,,AT3G53150.1
AT5G60260.1,AT1G23110.4,AT5G33370.2,AT1G28260.1,,,,AT4G08770.1
AT5G59720.1,AT1G23110.5,AT3G55110.1,AT1G20390.1,,,,AT5G48430.1
AT5G23010.1,AT2G40100.1,AT1G32080.1,AT5G01870.1,,,,AT1G66600.1
AT1G10790.1,AT3G24900.1,AT3G54925.1,AT1G67870.1,,,,AT2G43000.1
AT3G28770.1,AT4G08780.1,AT2G16680.1,AT3G25870.1,,,,AT1G21240.1
AT5G51580.1,AT5G40230.1,AT1G06360.1,AT2G38290.2,,,,AT1G51920.1
AT1G65890.1,AT2G26310.3,AT2G05070.1,AT1G28370.1,,,,AT3G09922.1
AT1G66760.2,AT2G21850.1,AT5G42170.1,AT2G44300.1,,,,AT4G12490.1
AT1G66760.1,AT1G66390.1,AT3G31990.1,AT5G28490.1,,,,AT1G44130.1
AT4G11190.1,AT1G23110.2,AT4G12170.1,AT4G04830.2,,,,AT4G28460.1
AT2G23530.1,AT2G47000.1,AT2G36792.1,AT5G51310.1,,,,AT4G28420.1
AT3G19700.1,AT5G54070.1,AT3G43390.1,AT2G44940.1,,,,AT5G24090.1
AT1G16410.2,AT5G22380.1,AT1G19930.1,AT1G29380.1,,,,AT1G55790.1
AT5G44350.1,AT1G32950.1,AT5G48490.1,AT2G37925.1,,,,AT1G69920.1
AT3G60550.1,AT1G78410.1,AT3G13830.1,AT1G79160.1,,,,AT2G05510.6
AT1G34100.1,AT5G54075.1,AT1G51840.1,AT5G49700.1,,,,AT5G18350.1
AT1G15210.1,AT5G13740.1,AT1G51870.1,AT4G04830.1,,,,AT4G28420.2
AT2G27080.2,AT5G24240.1,AT2G31083.1,AT5G05490.2,,,,AT2G05510.1
AT2G27080.1,AT4G21903.2,AT1G51823.1,AT5G40720.1,,,,AT2G05510.2
AT1G67105.1,AT3G03170.1,AT4G03153.1,AT4G13290.1,,,,AT2G05510.3
AT5G50580.2,AT4G24000.1,AT1G51830.1,AT1G44800.1,,,,AT2G05510.4
AT5G50580.1,AT2G22810.1,AT1G65570.1,AT2G47560.1,,,,AT2G05510.5
AT1G52400.3,AT3G01830.1,AT3G31425.1,AT5G01760.1,,,,AT2G39530.1
AT1G74010.1,AT3G55890.1,AT3G62550.1,AT3G13784.1,,,,AT4G11170.1
AT1G52400.1,AT2G40100.2,AT5G18870.1,AT1G19715.2,,,,AT1G47890.1
AT3G45970.1,AT1G21110.1,AT3G32000.1,AT4G04620.1,,,,AT1G67270.1
AT1G52400.2,AT1G23110.3,AT4G00180.1,AT1G62710.1,,,,AT2G30766.1
AT2G27690.1,AT5G57480.1,AT4G00180.2,AT5G63990.1,,,,AT3G15536.1
AT2G38640.1,AT1G55950.1,AT3G26280.1,AT1G55920.1,,,,AT1G47395.1
AT5G57550.1,AT4G37070.1,AT1G60450.1,AT1G75820.1,,,,AT2G30760.1
ATCG00200.1,AT4G37070.2,AT3G46420.1,AT4G04620.2,,,,AT3G57260.1
AT1G30860.1,AT2G39210.1,AT3G63360.1,AT2G18680.1,,,,AT2G30766.2
AT5G57560.1,AT4G04510.1,AT1G22690.1,AT5G03490.1,,,,AT1G51913.1
AT3G02020.1,AT1G74670.1,AT5G07560.1,AT1G76952.1,,,,AT3G12910.1
AT5G62360.1,AT2G42060.1,AT1G77960.1,AT1G77380.1,,,,AT1G66700.1
AT1G20120.1,AT1G24147.1,AT5G51860.1,AT3G03530.1,,,,AT4G10500.1
AT5G37540.1,AT3G55500.1,AT5G51860.2,AT5G41460.1,,,,AT1G30700.1
AT3G17860.2,AT5G59530.1,AT2G19840.1,AT2G34540.1,,,,AT1G66700.3
AT2G06002.1,AT4G29020.2,AT1G51805.2,AT1G61600.1,,,,AT4G31950.1
AT5G58660.1,AT1G69720.2,AT5G51870.2,AT5G48570.1,,,,AT1G29100.1
AT1G22490.1,AT2G39200.1,AT1G51805.1,AT5G63990.2,,,,AT1G47400.1
AT5G42650.1,AT1G69720.1,AT4G09350.1,AT1G60590.1,,,,ATMG01290.1
AT2G35585.1,AT1G49000.1,AT5G09660.3,AT1G47510.2,,,,ATMG01270.1
AT3G25760.1,AT3G26210.1,AT5G09660.2,AT2G17330.1,,,,ATMG01300.1
AT2G34300.2,AT5G26690.1,AT5G45820.1,AT4G20830.2,,,,AT5G38900.1
AT1G69430.1,AT3G57380.1,AT2G31550.1,AT4G20830.1,,,,AT2G30660.1
AT2G34300.1,AT3G11010.1,AT5G52260.1,AT3G12730.1,,,,AT3G25240.1
AT3G17860.3,AT3G48240.1,AT1G58050.1,AT1G21460.1,,,,ATMG01310.1
AT3G01580.1,AT3G18291.1,AT2G34350.1,AT3G56770.1,,,,AT3G26830.1
AT1G33760.1,AT5G52760.1,AT3G47230.1,AT1G29520.1,,,,AT1G26380.1
AT3G17860.1,AT1G17020.1,AT5G17720.1,AT3G28350.1,,,,AT3G12230.1
AT1G60960.1,AT3G25010.1,AT1G04500.1,AT3G62090.2,,,,AT5G02780.2
AT5G02170.2,AT5G53450.1,AT1G69120.1,AT5G65280.1,,,,AT5G02780.1
AT5G61330.1,AT5G53450.2,AT2G04190.1,AT1G79520.2,,,,AT4G22070.1
AT1G54040.2,AT5G25910.1,AT3G50808.1,AT3G62090.3,,,,AT5G44990.1
AT1G76650.3,AT5G44820.1,AT5G38100.1,AT1G79520.1,,,,AT1G12030.1
AT1G17380.1,AT2G14560.2,AT5G38100.2,AT4G01360.1,,,,AT5G44990.2
AT1G76650.1,AT4G18250.1,AT5G60060.1,AT4G18050.1,,,,AT4G04990.1
AT1G19180.1,AT3G22840.1,AT5G42591.1,AT5G25610.1,,,,AT5G44990.3
AT1G24260.1,AT1G73510.1,AT1G10100.1,AT3G62090.1,,,,AT4G11650.1
AT1G24260.2,AT3G28890.1,AT1G68780.1,AT2G40340.1,,,,AT3G28510.1
AT5G14200.3,AT5G04000.1,AT5G09660.4,AT5G14560.1,,,,AT1G19250.1
AT5G14200.2,AT5G04000.2,AT1G34050.1,AT4G16008.1,,,,AT3G01420.1
AT1G16030.1,AT1G68150.1,AT5G09660.1,AT5G18970.1,,,,AT2G43570.1
AT5G14200.1,AT5G67340.1,AT2G02310.1,AT1G04770.1,,,,AT5G48400.1
AT2G43535.1,AT4G37070.4,AT3G46250.1,AT4G12290.1,,,,AT1G55790.2
AT5G64750.1,AT2G37980.1,AT1G54950.1,AT1G68470.1,,,,AT1G47405.1
AT5G61350.1,AT1G23840.1,AT2G22942.1,AT2G28780.1,,,,AT2G44460.1
AT5G21950.1,AT1G13540.1,AT2G28755.1,AT2G42610.1,,,,AT4G23700.1
AT5G09440.1,AT4G37070.3,AT1G65390.2,AT3G44310.3,,,,AT3G45670.1
AT1G20440.1,AT4G39250.1,AT1G65390.1,AT3G45680.1,,,,AT5G48400.2
AT1G24260.3,AT1G12940.1,AT3G02620.1,AT2G43920.1,,,,AT2G30770.1
AT1G19180.2,AT2G27660.1,AT5G52790.1,AT2G43920.2,,,,AT3G61390.2
AT5G58770.1,AT4G02520.1,AT4G09965.1,AT2G42610.2,,,,AT5G40990.1
AT1G76650.2,AT4G27810.1,AT1G22690.3,AT3G44310.1,,,,AT3G61390.1
AT3G43670.1,AT2G38860.1,AT4G22880.1,AT5G57540.1,,,,AT1G32350.1
AT4G18440.1,AT3G45660.1,AT4G22880.2,AT5G25620.1,,,,AT1G26410.1
AT3G14595.1,AT2G38860.2,AT3G51420.1,AT3G42180.3,,,,AT3G18250.1
AT3G50570.1,AT2G44480.1,AT2G29010.1,AT3G48770.1,,,,AT5G19880.1
AT1G23800.1,AT4G28790.1,AT5G27190.1,AT5G66440.1,,,,AT1G13520.1
AT3G15605.3,AT2G46880.1,AT2G14210.1,AT5G25620.2,,,,AT1G67980.1
AT4G15440.1,AT4G23215.1,AT2G13360.1,AT5G01540.1,,,,AT1G67980.2
AT1G62560.1,AT2G44480.2,AT2G13360.2,AT5G49480.1,,,,AT2G45130.1
AT1G19570.1,AT2G14560.1,AT1G68600.1,AT4G28250.1,,,,AT5G36970.1
AT1G19570.2,AT1G70170.1,AT1G45015.2,AT4G35480.1,,,,AT3G55790.1
AT2G25450.1,AT1G05700.1,AT2G24710.1,AT3G44310.2,,,,AT5G11220.1
AT1G76790.1,AT3G61280.2,AT3G29780.1,AT5G04080.3,,,,AT5G40590.1
AT3G01220.1,AT5G09470.1,AT3G46480.1,AT2G47240.1,,,,AT1G51915.1
AT3G24460.1,AT3G04530.1,AT1G28695.1,AT1G33110.1,,,,AT2G35980.1
AT2G40435.1,AT5G64890.1,AT5G10420.1,AT1G33110.2,,,,AT4G10860.1
AT1G44830.1,AT3G61280.1,AT2G28850.1,AT1G63310.1,,,,AT1G66610.1
AT3G15605.2,AT3G50470.1,AT5G07570.1,AT3G13080.4,,,,AT1G66610.2
AT3G59350.3,AT5G66150.1,AT2G22941.1,AT3G59480.1,,,,AT1G14540.1
AT5G62730.1,AT2G42990.1,AT4G37235.1,AT4G28250.2,,,,AT1G13609.1
AT3G59350.1,AT2G24165.1,AT1G15540.1,AT2G31160.1,,,,AT1G13609.2
AT3G15605.1,AT1G17745.2,AT5G10570.1,AT1G22710.1,,,,AT2G14247.1
AT3G59350.2,AT1G17745.1,AT1G19150.1,AT1G69970.2,,,,AT2G30750.1
AT3G23570.1,AT5G40010.1,AT5G28625.1,AT2G23808.1,,,,AT3G56970.1
AT1G31290.1,AT3G26440.3,AT2G03550.1,AT5G14940.1,,,,AT1G26240.1
AT1G44350.1,AT3G26440.4,AT5G07571.1,AT5G63700.1,,,,AT2G29250.1
AT1G16370.1,AT2G38860.3,AT4G13760.1,AT2G47240.2,,,,AT3G56980.1
AT4G33150.1,AT4G25070.1,AT3G15111.1,AT4G39955.1,,,,AT2G41240.1
AT4G33150.2,AT3G26440.2,AT4G23290.2,AT2G03500.1,,,,AT2G41240.2
AT3G46090.1,AT4G18190.1,AT2G23920.1,AT4G00880.1,,,,AT5G38910.1
AT3G15510.1,AT5G60900.1,AT5G51650.1,AT1G14730.1,,,,AT4G31970.1
AT4G19120.2,AT1G30900.1,AT4G14780.1,AT5G02260.1,,,,AT1G14550.1
AT3G19040.1,AT5G61550.1,AT1G34047.1,AT3G13080.1,,,,AT1G26390.1
AT1G31820.1,AT3G26440.1,AT1G34047.2,AT3G13080.2,,,,AT4G14630.1
AT4G19120.1,AT4G25070.2,AT5G07572.1,AT1G26770.2,,,,AT5G46960.1
AT1G26730.1,ATCG01210.1,AT5G08000.1,AT1G63820.1,,,,AT1G05080.1
AT2G23100.1,AT5G22540.1,AT2G22940.1,AT1G12805.1,,,,AT1G59312.1
AT2G43550.1,AT3G23010.1,AT5G22890.1,AT5G04080.2,,,,AT2G16490.1
AT4G33150.3,AT5G61550.2,AT1G52060.1,AT2G24762.1,,,,AT1G58320.1
AT2G15960.1,AT4G28790.2,AT4G28620.1,AT3G52340.2,,,,AT5G37840.1
AT3G28270.2,AT3G44350.1,AT5G50770.1,AT3G01175.1,,,,AT5G46950.1
AT5G49015.2,AT3G44350.2,AT5G47900.1,AT4G27520.1,,,,AT3G13433.1
AT3G28270.1,AT2G04495.1,AT5G46370.1,AT4G37180.1,,,,AT1G26400.1
AT3G58990.1,AT4G04500.1,AT4G23290.1,AT3G16650.1,,,,
AT2G43100.1,AT5G16170.1,AT1G72610.1,AT3G13080.3,,,,
AT5G49015.1,AT2G46880.2,AT4G12180.1,AT4G37180.2,,,,
AT2G45080.1,AT3G28890.2,AT1G22690.2,AT4G19680.1,,,,
AT4G33980.2,AT5G48657.1,AT4G03050.1,AT1G75720.2,,,,
AT5G58310.1,AT1G24130.1,AT4G03050.2,AT3G05770.1,,,,
AT4G33980.1,AT5G12880.1,AT1G44030.1,AT2G32190.2,,,,
AT1G34760.2,AT1G17744.1,AT1G72590.1,AT3G20570.1,,,,
AT3G14940.1,AT3G29250.1,AT1G52415.1,AT1G19715.3,,,,
AT5G17860.1,AT2G31020.1,AT5G47900.7,AT1G23530.1,,,,
AT1G34760.1,AT2G45135.1,AT5G47900.4,AT4G13190.1,,,,
AT5G03720.1,AT1G65484.1,AT1G70080.1,AT3G53230.1,,,,
AT2G34070.1,AT3G44510.1,AT5G24130.1,AT5G56600.2,,,,
AT1G06640.3,AT3G44510.2,AT5G60880.1,AT5G42053.1,,,,
AT1G06640.1,AT1G07900.1,AT3G30763.1,AT5G56600.1,,,,
AT4G31000.1,AT2G32680.1,AT3G29767.1,AT5G04080.1,,,,
AT5G66650.1,AT5G52720.1,AT1G51820.1,AT5G12110.1,,,,
AT5G24030.1,AT5G48657.2,AT5G52710.1,AT3G27400.1,,,,
AT3G57320.2,AT1G65484.2,AT3G19430.1,AT3G54820.1,,,,
AT5G07690.1,AT1G33730.1,AT3G16530.1,AT1G71960.1,,,,
AT3G57320.1,AT5G10660.2,AT1G80240.1,AT1G48750.1,,,,
AT1G06640.2,AT1G67520.1,AT4G16990.1,AT5G43370.1,,,,
AT1G20450.1,AT3G05780.1,AT4G30670.1,AT5G43370.2,,,,
AT1G20450.2,AT1G35710.1,AT4G16990.2,AT2G47730.1,,,,
AT5G14230.1,AT4G23140.1,AT4G26820.1,AT5G01542.1,,,,
AT5G24470.1,AT4G23140.2,AT5G60880.2,AT2G34530.1,,,,
AT2G33830.1,AT3G42820.1,AT3G27040.1,AT1G64540.1,,,,
AT4G13770.1,AT4G25110.1,AT4G16990.5,AT3G52340.1,,,,
AT1G78370.1,AT4G25110.2,AT4G16990.3,AT1G48660.1,,,,
AT1G08840.2,AT2G45135.2,AT4G16990.4,AT4G19680.2,,,,
AT4G31000.2,AT1G58225.1,AT5G54095.1,AT3G17730.1,,,,
AT2G33830.2,AT3G48020.1,AT5G54060.1,AT3G52340.3,,,,
AT4G12030.2,AT1G66960.1,AT5G09711.1,AT5G01215.1,,,,
AT3G30775.1,AT5G45000.1,AT5G53950.1,AT1G02950.1,,,,
AT2G39920.1,AT1G29860.1,AT3G23460.1,AT2G32190.1,,,,
AT2G39920.3,AT1G56120.1,AT1G31960.1,AT1G02950.2,,,,
AT5G50915.1,AT1G61800.1,AT2G01918.1,AT1G02950.4,,,,
AT1G33260.1,AT1G13830.1,AT1G19670.1,AT1G02950.3,,,,
AT1G33260.2,AT5G45380.1,AT2G24810.1,AT5G46530.1,,,,
AT2G39920.2,AT3G48650.1,AT4G37160.1,AT3G23060.1,,,,
AT4G12030.1,AT4G14390.1,AT1G70820.1,AT5G05490.1,,,,
AT5G50915.2,AT1G58225.2,AT5G23840.2,AT3G27150.1,,,,
AT2G37570.1,AT1G02440.1,AT2G22630.1,AT2G34530.2,,,,
AT5G02480.1,AT4G04490.1,AT5G45120.1,AT4G25410.1,,,,
AT4G16146.1,AT5G01550.1,AT3G02645.1,AT1G59725.1,,,,
ATCG00050.1,AT3G29250.2,AT3G29590.1,AT2G34540.2,,,,
AT2G17840.1,AT5G67450.1,AT2G23410.1,AT3G61400.1,,,,
AT2G37570.2,AT5G53990.1,AT3G63350.1,AT5G63710.1,,,,
AT4G04330.1,AT1G28650.1,AT5G20045.1,AT1G02205.3,,,,
AT3G53990.1,AT2G32160.3,AT5G23840.1,AT5G43980.1,,,,
AT3G22200.2,AT2G32160.2,AT5G47900.3,AT2G10430.1,,,,
AT3G05880.1,AT2G32160.1,AT2G15025.1,AT3G60670.1,,,,
AT1G56300.1,AT5G43350.1,AT3G14185.1,AT1G20823.1,,,,
AT1G07590.1,AT4G39670.1,AT1G75910.1,AT5G01210.1,,,,
AT1G07600.1,AT5G03350.1,AT1G73300.1,AT3G60490.1,,,,
,AT2G34500.1,AT2G17780.2,AT5G54660.1,,,,
,AT4G11480.1,AT2G14510.1,AT2G01990.1,,,,
,AT4G03460.1,AT5G45680.1,AT2G39240.1,,,,
,AT5G54610.1,AT1G61097.1,AT5G23050.1,,,,
,AT5G66020.1,AT1G54820.1,AT5G02030.1,,,,
,AT5G06740.1,AT5G09710.1,AT3G58270.2,,,,
,AT5G62150.1,AT5G56325.1,AT4G10310.1,,,,
,AT2G17740.1,AT5G47900.2,AT3G46280.1,,,,
,AT5G59670.1,AT5G47900.5,AT1G02205.2,,,,
,AT3G02240.1,AT1G21860.1,AT5G43580.1,,,,
,AT4G15417.1,AT4G09200.1,AT3G58270.1,,,,
,AT4G03450.1,AT2G17780.1,AT5G54400.1,,,,
,AT2G37750.1,AT5G21430.1,AT4G11390.1,,,,
,AT5G10660.1,AT5G21430.2,AT5G46730.2,,,,
,AT5G13080.1,AT4G38840.1,AT1G09080.1,,,,
,AT4G18360.1,AT5G47900.6,AT2G31230.1,,,,
,AT4G18360.2,AT4G10490.1,AT3G03270.2,,,,
,AT2G18660.1,AT1G22590.1,AT3G53160.1,,,,
,AT1G14870.1,AT2G17780.3,AT1G09080.2,,,,
,AT4G18430.1,AT3G28070.2,AT5G46730.1,,,,
,AT2G18190.1,AT5G60910.1,AT5G44005.1,,,,
,AT3G10815.1,AT2G02450.2,AT5G01215.2,,,,
,AT3G57240.1,AT3G54830.1,AT1G19750.1,,,,
,AT5G19470.2,AT4G05130.1,AT4G36410.1,,,,
,AT1G16150.1,AT3G13840.1,AT5G48070.1,,,,
,AT3G13130.1,AT4G22610.1,AT5G57530.1,,,,
,AT1G13530.1,AT2G42560.1,AT4G31710.1,,,,
,AT5G19470.1,AT1G47317.1,AT5G62940.1,,,,
,AT5G45080.1,AT4G13500.1,AT3G21310.1,,,,
,AT1G13470.1,AT5G50760.1,AT2G38870.1,,,,
,AT3G44830.1,AT5G55056.1,AT5G11930.1,,,,
,AT2G47130.1,AT2G02450.1,AT4G08150.1,,,,
,AT1G02250.1,AT5G09720.1,AT4G24260.1,,,,
,AT5G64100.1,AT3G54890.3,AT1G79480.1,,,,
,AT1G51890.2,AT1G07460.1,AT1G78380.1,,,,
,AT4G35170.1,AT3G54890.2,AT1G68880.1,,,,
,AT2G46750.1,AT1G56520.1,AT1G75720.1,,,,
,AT1G51890.1,AT1G56520.2,AT5G46350.1,,,,
,AT3G45860.1,AT5G59260.1,AT3G14560.1,,,,
,AT3G26160.1,AT3G54890.1,AT1G33440.1,,,,
,AT1G24250.1,AT1G30260.1,AT1G62180.1,,,,
,AT1G27580.1,AT1G07050.1,AT1G02205.1,,,,
,AT4G21840.1,AT3G46780.1,AT1G15330.1,,,,
,AT3G02670.1,AT3G54890.4,AT1G79480.2,,,,
,AT1G21310.1,AT1G13300.1,AT1G01720.1,,,,
,AT2G13810.1,AT2G22750.1,AT1G52700.1,,,,
,AT2G07620.1,AT4G11810.1,AT1G06170.1,,,,
,AT4G12350.1,AT2G31085.1,AT2G35990.2,,,,
,AT1G02360.1,AT2G05100.1,AT3G12915.1,,,,
,AT3G45330.1,AT3G25790.1,AT2G43660.1,,,,
,AT4G23310.1,AT5G25460.1,AT2G43660.2,,,,
,AT1G15520.1,AT1G07560.1,AT3G03270.1,,,,
,AT2G36020.1,AT4G34320.1,AT3G51895.1,,,,
,AT4G15755.1,AT2G36110.1,AT1G62180.2,,,,
,AT3G48630.1,AT1G76135.1,AT2G35990.3,,,,
,AT4G18920.1,AT4G23300.1,AT1G12320.1,,,,
,AT5G38250.1,AT2G24560.1,AT4G25850.2,,,,
,AT4G36700.1,AT5G06905.1,AT5G37485.1,,,,
,AT3G49340.1,AT4G40070.1,AT5G17450.1,,,,
,AT4G19970.1,AT1G04670.1,AT3G53690.1,,,,
,AT1G65690.1,ATCG00870.1,AT1G17830.1,,,,
,AT3G11340.1,AT3G19850.1,AT4G39580.1,,,,
,AT1G61080.1,AT5G54067.1,AT5G01595.1,,,,
,AT1G71390.1,AT4G04745.1,AT1G21130.2,,,,
,AT5G39390.1,AT2G26370.1,AT3G12915.2,,,,
,AT1G35230.1,AT3G28345.1,AT1G59700.1,,,,
,AT4G23150.1,AT5G44574.1,AT5G10946.1,,,,
,AT4G09770.1,AT5G60910.2,AT4G15530.5,,,,
,AT4G09770.2,AT1G64480.1,AT3G16770.1,,,,
,AT2G19190.1,AT1G61750.1,AT4G15530.6,,,,
,AT3G61500.2,AT2G03750.1,AT4G15530.4,,,,
,AT3G47050.1,AT1G15980.1,AT4G15530.1,,,,
,AT3G47050.2,AT1G32970.1,AT5G17450.2,,,,
,AT1G68450.1,AT3G48290.1,AT5G12330.4,,,,
,AT2G18530.1,AT3G14420.3,AT5G27690.1,,,,
,AT2G14230.1,AT2G43600.1,AT2G20520.1,,,,
,AT1G58248.1,AT3G14420.5,AT5G58610.1,,,,
,AT3G61500.1,AT1G66940.3,AT1G63530.1,,,,
,AT3G13610.1,AT2G44340.1,AT1G64950.1,,,,
,AT1G36610.1,AT3G28070.3,AT3G62740.1,,,,
,AT2G40740.2,AT3G14420.1,AT2G46400.1,,,,
,AT2G29100.1,AT2G22960.1,AT1G58007.2,,,,
,AT5G63225.1,AT5G06490.1,AT4G15530.3,,,,
,AT5G53451.1,AT1G24420.1,AT4G15530.2,,,,
,AT2G33080.1,AT2G22955.1,AT1G09950.1,,,,
,AT1G63245.1,AT3G14420.4,AT1G58007.1,,,,
,AT3G22600.1,AT3G14420.2,AT2G32020.1,,,,
,AT2G44240.1,AT3G50460.1,AT5G10625.1,,,,
,AT1G65140.1,AT4G12545.1,AT4G13820.1,,,,
,AT4G12500.1,AT3G43400.1,AT5G42720.1,,,,
,AT5G01490.1,AT1G72600.2,AT5G15960.1,,,,
,AT1G65360.1,AT1G66940.1,AT2G40250.1,,,,
,AT2G40740.1,AT3G14420.6,AT4G25434.2,,,,
,AT5G55420.1,AT1G66940.2,AT5G48690.1,,,,
,AT3G61730.1,AT1G65050.1,AT5G48690.2,,,,
,AT1G74080.1,AT2G22990.6,AT1G64590.1,,,,
,AT1G17545.1,AT1G61270.1,AT3G56250.1,,,,
,AT1G77730.1,AT2G22990.2,AT4G24250.1,,,,
,AT5G64790.1,AT4G18205.1,AT1G04180.1,,,,
,AT1G51900.1,AT2G32610.1,AT1G07160.1,,,,
,AT5G45090.1,AT5G45850.1,AT4G19230.1,,,,
,AT1G74190.1,AT3G48290.2,AT4G19230.2,,,,
,AT5G15130.1,AT2G22990.5,AT4G25434.1,,,,
,AT1G13480.1,AT1G58430.1,AT1G06170.2,,,,
,AT3G46330.1,AT2G22990.3,AT1G59620.1,,,,
,AT3G50160.1,AT2G22990.4,AT5G17650.1,,,,
,AT4G39610.1,AT2G22990.1,AT5G45350.2,,,,
